# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr9	131073165	131084009	-	hsa_circ_0088775	10844	561	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015679	TRUB2	Salzman2013
chr11	68173991	68193655	+	hsa_circ_0023207	19664	1836	Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002335	LRP5	Salzman2013
chr12	109196097	109205104	-	hsa_circ_0028084	9007	600	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018984	SSH1	Salzman2013
chr4	6998051	7006651	+	hsa_circ_0003201	8600	389	Hs68_RNase, Hs68_control, K562, Helas3	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020773	TBC1D14	Jeck2013, Salzman2013
chr18	39637846	39647477	+	hsa_circ_0047499	9631	386	Nhek, K562, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002647	PIK3C3	Salzman2013
chr10	76978820	76980728	+	hsa_circ_0018911	1908	434	Nhek, K562, Helas3, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001184783	VDAC2	Salzman2013
chr1	52231493	52231653	+	hsa_circ_0012464	160	160	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_148909	OSBPL9	Salzman2013
chr6	165792682	165957056	-	hsa_circ_0078634	164374	1918	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_045597	PDE10A	Salzman2013
chr16	29819550	29821085	+	hsa_circ_0038936	1535	461	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001042539	MAZ	Salzman2013
chr7	959604	966280	-	hsa_circ_0079091	6676	175	Hepg2, Helas3, Gm12878, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006869	ADAP1	Salzman2013
chr7	148963425	148964313	+	hsa_circ_0082864	888	649	Helas3, H1hesc, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001195220	ZNF783	Salzman2013
chr1	7839685	7841492	+	hsa_circ_0009550	1807	1807	Nhek, K562, Huvec, Hepg2, Helas3, Gm12878, Bj, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004781	VAMP3	Salzman2013
chr3	128973827	128973920	+	hsa_circ_0067268	93	93	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016128	COPG	Salzman2013
chr17	80901697	80919057	-	hsa_circ_0046597	17360	738	Helas3	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001009905	B3GNTL1	Salzman2013
chr8	48748898	48749980	-	hsa_circ_0084318	1082	398	K562, Helas3, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006904	PRKDC	Salzman2013
chr9	95030455	95032265	-	hsa_circ_0008367	1810	226	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013417	IARS	Jeck2013, Salzman2013
chr1	46463395	46468555	+	hsa_circ_0012288	5160	155	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015112	MAST2	Salzman2013
chr11	62638216	62638309	+	hsa_circ_0022574	93	93	K562, Helas3, A549	SINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002394	SLC3A2	Salzman2013
chr20	34295041	34301018	-	hsa_circ_0060134	5977	211	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_040722	RBM39	Salzman2013
chr5	80381620	80422982	+	hsa_circ_0073191	41362	1525	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_006909	RASGRF2	Salzman2013
chr15	41988272	42000406	+	hsa_circ_0034735	12134	1361	K562, Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164273	MGA	Salzman2013
chr5	151176787	151179561	+	hsa_circ_0074676	2774	416	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005754	G3BP1	Salzman2013
chr19	1119009	1119620	-	hsa_circ_0048194	611	260	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014963	SBNO2	Salzman2013
chr3	52838741	52841932	+	hsa_circ_0066135	3191	567	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002217	ITIH3	Salzman2013
chr17	45730059	45748198	+	hsa_circ_0044283	18139	1448	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002265	KPNB1	Salzman2013
chr16	2616356	2633586	+	hsa_circ_0037553	17230	514	K562, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002613	PDPK1	Salzman2013
chr8	26220199	26223922	+	hsa_circ_0083741	3723	427	K562, Helas3, Bj	LINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002717	PPP2R2A	Salzman2013
chr21	47916900	47931527	+	hsa_circ_0062112	14627	819	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015151	DIP2A	Salzman2013
chr10	99150179	99161127	-	hsa_circ_0019338	10948	892	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_015179	RRP12	Salzman2013
chr8	42914234	42924802	+	hsa_circ_0084169	10568	306	K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002027	FNTA	Salzman2013
chr5	143537728	143550278	-	hsa_circ_0074383	12550	3447	Helas3, H1hesc, A549	DNA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_001024947	YIPF5	Salzman2013
chr14	51710573	51716483	+	hsa_circ_0009104	5910	512	Hs68_RNase, Hs68_control, Nhek, K562, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_030755	TMX1	Jeck2013, Salzman2013
chr2	216279559	216284108	-	hsa_circ_0002341	4549	266	Hs68_RNase, Hs68_control, Huvec, Helas3, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_212482	FN1	Jeck2013, Salzman2013
chr19	1090906	1094077	-	hsa_circ_0048173	3171	372	Huvec, Helas3, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002695	POLR2E	Salzman2013
chr12	53512133	53515185	+	hsa_circ_0026560	3052	458	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003578	SOAT2	Salzman2013
chr5	102494849	102509676	+	hsa_circ_0073512	14827	792	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015216	PPIP5K2	Salzman2013
chr6	90503480	90513273	-	hsa_circ_0077377	9793	753	K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014611	MDN1	Salzman2013
chr1	38047823	38049534	-	hsa_circ_0001987	1711	340	Hs68_RNase, Hs68_control, Nhek, Helas3	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013285	GNL2	Jeck2013, Salzman2013
chr11	64877953	64879180	+	hsa_circ_0022767	1227	592	Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_013265	C11orf2	Salzman2013
chr21	33711015	33723231	-	hsa_circ_0061451	12216	1897	Nhek, K562, Hmec, Hepg2, Helas3, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014825	URB1	Salzman2013
chr1	204198064	204214131	-	hsa_circ_0016132	16067	719	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014935	PLEKHA6	Salzman2013
chr14	50647289	50647400	-	hsa_circ_0031829	111	111	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006939	SOS2	Salzman2013
chr3	63898263	63938159	+	hsa_circ_0066434	39896	510	K562, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_000333	ATXN7	Salzman2013
chr10	27431315	27434519	-	hsa_circ_0005633	3204	262	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_139312	YME1L1	Jeck2013, Salzman2013
chr11	224077	236931	-	hsa_circ_0020610	12854	1572	Helas3, Sknshra	NA	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	NM_012239	SIRT3	Salzman2013
chr15	75652430	75652552	-	hsa_circ_0036336	122	122	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006715	MAN2C1	Salzman2013
chr1	27730733	27741457	-	hsa_circ_0011067	10724	4909	K562, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_006990	WASF2	Salzman2013
chr6	2263834	2270033	+	hsa_circ_0075453	6199	186	K562, Helas3	LINE, SINE	ANNOTATED, INTERNAL, ncRNA, OVEXON	TCONS_00011148	TCONS_00011148	Salzman2013
chr13	95271721	95275554	+	hsa_circ_0030564	3833	400	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_180989	GPR180	Salzman2013
chr7	40117603	40118450	+	hsa_circ_0079940	847	249	Hepg2, Helas3, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003718	CDK13	Salzman2013
chr1	7837219	7841492	+	hsa_circ_0009548	4273	2018	Nhek, K562, Huvec, Hepg2, Helas3, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004781	VAMP3	Salzman2013
chr9	131774514	131777183	-	hsa_circ_0089010	2669	290	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020145	SH3GLB2	Salzman2013
chr11	36531597	36531863	-	hsa_circ_0021759	266	266	Helas3	NA	ANNOTATED, coding, OVEXON, UTR5	NM_145803	TRAF6	Salzman2013
chr12	96717725	96728643	-	hsa_circ_0002762	10918	312	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001170464	CDK17	Jeck2013, Salzman2013
chr7	100279694	100281541	-	hsa_circ_0081511	1847	1057	Helas3	Simple_repeat	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_022574	GIGYF1	Salzman2013
chr19	13049947	13055304	+	hsa_circ_0049639	5357	1740	Hepg2, Helas3, H1hesc, Bj, Ag04450, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004343	CALR	Salzman2013
chr14	53327058	53331571	-	hsa_circ_0031967	4513	475	Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001134999	FERMT2	Salzman2013
chr6	170002314	170013752	-	hsa_circ_0078733	11438	201	Hepg2, Helas3, Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_182552	WDR27	Salzman2013
chr6	160445603	160495007	+	hsa_circ_0078578	49404	4653	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000876	IGF2R	Salzman2013
chr1	227071405	227076750	+	hsa_circ_0016721	5345	646	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_000447	PSEN2	Salzman2013
chr14	72125049	72139339	+	hsa_circ_0032471	14290	1111	Helas3, Gm12878, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015556	SIPA1L1	Salzman2013
chr18	23614968	23671164	-	hsa_circ_0047313	56196	1727	Helas3	NA	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	NM_001007559	SS18	Salzman2013
chr17	7480661	7480805	+	hsa_circ_0041928	144	144	Nhek, K562, Helas3, H1hesc, Bj, Ag04450	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_037926	SENP3-EIF4A1	Salzman2013
chr8	144451024	144462155	+	hsa_circ_0085832	11131	1235	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_052924	RHPN1	Salzman2013
chr10	62671108	62761198	-	hsa_circ_0018449	90090	396	Helas3	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	NR_024555	RHOBTB1	Salzman2013
chr1	93167697	93202184	-	hsa_circ_0013173	34487	720	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005665	EVI5	Salzman2013
chr11	4128664	4144614	+	hsa_circ_0020952	15950	1034	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001033	RRM1	Salzman2013
chr1	156354317	156355011	+	hsa_circ_0014735	694	518	Helas3	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	NR_026549	RHBG	Salzman2013
chr9	20720378	20823114	+	hsa_circ_0086503	102736	1788	Helas3, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017794	KIAA1797	Salzman2013
chr3	119624601	119721086	-	hsa_circ_0066901	96485	725	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002093	GSK3B	Salzman2013
chr16	72845475	72994093	-	hsa_circ_0040428	148618	3913	Hsmm, Helas3, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_006885	ZFHX3	Salzman2013
chr3	186338374	186339107	+	hsa_circ_0068454	733	733	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001622	AHSG	Salzman2013
chr17	27974711	28030080	-	hsa_circ_0042798	55369	1689	Helas3, Gm12878	SINE	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVERLAPTX, OVEXON	NM_033389	SSH2	Salzman2013
chr11	65383782	65387403	+	hsa_circ_0022851	3621	2008	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON	NM_032223	PCNXL3	Salzman2013
chr11	57256388	57256865	-	hsa_circ_0022142	477	216	K562, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003627	SLC43A1	Salzman2013
chr12	56956200	56982158	+	hsa_circ_0027031	25958	1077	Hepg2, Helas3, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002898	RBMS2	Salzman2013
chr13	77651282	77699603	-	hsa_circ_0030471	48321	3840	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015057	MYCBP2	Salzman2013
chr19	10662720	10662797	+	hsa_circ_0049274	77	77	K562, Helas3, Bj, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032885	ATG4D	Salzman2013
chr3	50091767	50097179	+	hsa_circ_0065774	5412	596	Helas3, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005777	RBM6	Salzman2013
chr12	50385780	50395035	-	hsa_circ_0026189	9255	1165	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001126103	RACGAP1	Salzman2013
chr12	53512133	53514667	+	hsa_circ_0026559	2534	359	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003578	SOAT2	Salzman2013
chr16	47531309	47537001	+	hsa_circ_0039261	5692	329	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001031835	PHKB	Salzman2013
chr22	31345737	31354680	-	hsa_circ_0062871	8943	249	Huvec, Helas3, H1hesc, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_014941	MORC2	Salzman2013
chr2	27262897	27264565	+	hsa_circ_0053122	1668	1308	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_017727	TMEM214	Salzman2013
chr14	21555478	21556257	+	hsa_circ_0031143	779	275	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018071	ARHGEF40	Salzman2013
chr17	6594097	6596481	-	hsa_circ_0041752	2384	281	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_177550	SLC13A5	Salzman2013
chr12	120615486	120622690	-	hsa_circ_0028846	7204	608	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006836	GCN1L1	Salzman2013
chr15	90763024	90764997	+	hsa_circ_0036768	1973	477	Nhek, K562, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020210	SEMA4B	Salzman2013
chr1	8921058	8926560	-	hsa_circ_0009603	5502	1221	Nhek, K562, Huvec, Hsmm, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001201483	ENO1	Salzman2013
chr12	404738	417171	-	hsa_circ_0024935	12433	1077	Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001042603	KDM5A	Salzman2013
chr17	34859789	34870391	-	hsa_circ_0043160	10602	1359	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001163735	MYO19	Salzman2013
chr16	87457415	87493737	-	hsa_circ_0040778	36322	270	Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015144	ZCCHC14	Salzman2013
chr19	50910239	50918247	+	hsa_circ_0052017	8008	1070	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002691	POLD1	Salzman2013
chr19	39306496	39322497	-	hsa_circ_0050931	16001	967	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001398	ECH1	Salzman2013
chr5	43624133	43650689	+	hsa_circ_0072408	26556	1030	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012343	NNT	Salzman2013
chr8	48805819	48867006	-	hsa_circ_0084402	61187	3327	Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006904	PRKDC	Salzman2013
chr1	38047823	38053096	-	hsa_circ_0011705	5273	525	Nhek, K562, Huvec, Hepg2, Helas3, Bj, Ag04450, A549, Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013285	GNL2	Salzman2013
chrX	117861558	117892205	+	hsa_circ_0091393	30647	719	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001560	IL13RA1	Salzman2013
chrX	153576899	153582851	-	hsa_circ_0091838	5952	2948	Huvec, Hsmm, Hepg2, Helas3, Bj, Ag04450, Nhlf	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001110556	FLNA	Salzman2013
chr9	140157488	140157674	+	hsa_circ_0089677	186	186	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015456	COBRA1	Salzman2013
chr17	45748067	45752148	+	hsa_circ_0044315	4081	496	Huvec, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002265	KPNB1	Salzman2013
chr4	79158663	79173705	+	hsa_circ_0070097	15042	361	Helas3, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_025074	FRAS1	Salzman2013
chr19	6710997	6712417	-	hsa_circ_0048900	1420	360	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000064	C3	Salzman2013
chr2	27465169	27466654	+	hsa_circ_0053219	1485	850	K562, Hepg2, Helas3, H1hesc, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004341	CAD	Salzman2013
chr5	137895552	137903411	-	hsa_circ_0074146	7859	875	K562, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004134	HSPA9	Salzman2013
chr6	4706392	4892613	+	hsa_circ_0075517	186221	984	K562, Huvec, Hepg2, Helas3, Gm12878, Bj, A549, Nhek, Sknshra	NA	ANNOTATED, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_026590	CDYL	Salzman2013
chr17	4846473	4848517	+	hsa_circ_0041625	2044	789	Nhek, K562, Huvec, Hsmm, Hmec, Hepg2, Helas3, H1hesc, Bj, A549, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_015528	RNF167	Salzman2013
chr2	26453059	26462011	-	hsa_circ_0053064	8952	609	Nhek, Helas3, H1hesc, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000182	HADHA	Salzman2013
chr4	3190677	3209084	+	hsa_circ_0069017	18407	927	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002111	HTT	Salzman2013
chr16	24816025	24816172	+	hsa_circ_0038679	147	147	Nhek, K562, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014494	TNRC6A	Salzman2013
chr14	24649005	24649112	+	hsa_circ_0031345	107	107	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001048205	REC8	Salzman2013
chr16	68059317	68072052	+	hsa_circ_0039908	12735	224	Nhek, K562, Huvec, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_017803	DUS2L	Salzman2013
chr2	27422454	27426735	-	hsa_circ_0053147	4281	1837	Helas3, H1hesc	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	NR_028323	SLC5A6	Salzman2013
chr1	43161869	43162615	+	hsa_circ_0011982	746	393	Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004559	YBX1	Salzman2013
chr17	53491511	53499341	-	hsa_circ_0044706	7830	393	Hepg2, Helas3, Sknshra	Low_complexity	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_012329	MMD	Salzman2013
chr15	93467550	93518180	+	hsa_circ_0036965	50630	2515	Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001271	CHD2	Salzman2013
