Chr	Start	End	Hela_RNaseR-minus_pairs_Chimeric.out.junction
chr1	51121114	51171563	1
chr1	51171458	51204626	1
chr1	51253672	51267349	4
chr1	51860053	51887530	2
chr1	51860053	51912777	2
chr1	51860053	51913807	1
chr1	51868107	51874004	2
chr1	51868107	51906104	1
chr1	51902778	51913807	1
chr1	51906019	51913807	3
chr1	52211208	52231653	2
chr1	52211208	52215867	1
chr1	52237742	52238395	1
chr1	52269486	52280485	1
chr1	52279707	52287227	1
chr1	52283738	52287227	1
chr1	52287170	52291054	1
chr1	52289336	52299729	1
chr1	52525507	52530610	1
chr1	52849092	52854993	1
chr1	52870353	52871511	1
chr1	52903892	52947514	2
chr1	52925758	52927441	1
chr1	52937624	52943554	1
chr1	52937624	52962855	2
chr1	52937624	52975384	8
chr1	52943380	52954707	1
chr1	52943380	52959334	1
chr1	52947095	53018762	1
chr1	52947095	52975384	10
chr1	52956404	52975384	8
chr1	52959283	52962855	2
chr1	52959283	52975384	115
chr1	52959283	52992045	1
chr1	52961099	52975384	1
chr1	52975268	52992045	4
chr1	52981563	52992045	9
chr1	53279208	53279584	1
chr1	53322670	53329829	2
chr1	53329653	53333449	1
chr1	53792545	53792664	2
chr1	54252831	54254869	2
chr1	54252831	54275419	1
chr1	54269601	54272190	4
chr1	54343988	54344395	3
chr1	54413461	54433567	1
chr1	54427756	54433567	1
chr1	54506429	54509198	1
chr1	55330976	55340884	1
chr1	55563616	55566637	1
chr1	55586269	55614243	1
chr1	59787208	59812070	9
chr1	59787208	59844509	1
chr1	59805630	59812070	1
chr1	61553821	61577122	1
chr1	61577043	61585499	2
chr1	61624547	61624827	1
chr1	61743192	61818239	1
chr1	61869776	61892228	1
chr1	62321702	62350080	1
chr1	62907159	62907970	4
chr1	62908830	62913182	1
chr1	63269390	63286880	2
chr1	63269394	63286880	1
chr1	63282246	63286880	1
chr1	63294711	63307218	1
chr1	63906651	63924044	1
chr1	63944435	63974241	2
chr1	64095096	64102059	2
chr1	65095038	65107652	1
chr1	65234339	65255197	1
chr1	65243306	65255197	6
chr1	65266301	65273157	1
chr1	65309747	65312419	1
chr1	65830318	65831879	10
chr1	65830318	65860715	1
chr1	65845085	65850009	1
chr1	65849876	65855310	1
chr1	67356837	67371058	3
chr1	67405711	67428843	3
chr1	67411833	67425426	1
chr1	67411833	67428843	3
chr1	67423742	67428843	33
chr1	67450276	67450335	1
chr1	67457512	67518672	1
chr1	67861088	67868100	1
chr1	68960113	68960378	1
chr1	70646769	70650597	1
chr1	70736539	70781249	1
chr1	70742448	70781249	1
chr1	70758071	70758112	1
chr1	70758071	70771973	1
chr1	70758071	70781249	5
chr1	70779428	70790640	1
chr1	76198329	76200554	1
chr1	76211491	76216231	1
chr1	76255837	76256202	1
chr1	76259773	76260261	1
chr1	78041753	78045313	2
chr1	78041753	78050340	2
chr1	78097520	78107340	2
chr1	78097535	78107340	10
chr1	78098800	78107340	3
chr1	78105134	78107340	1
chr1	78107069	78107340	2
chr1	78177432	78181538	1
chr1	78177432	78181553	1
chr1	78177432	78180468	3
chr1	78178885	78180468	1
chr1	78183552	78184326	2
chr1	78191307	78200101	2
chr1	78324623	78329713	1
chr1	78324623	78338805	1
chr1	78329579	78332076	1
chr1	78368823	78368863	1
chr1	78407801	78407893	1
chr1	78420940	78422385	2
chr1	78429325	78429375	1
chr1	78429939	78430653	1
chr1	84376848	84412965	1
chr1	84644860	84650865	1
chr1	84644860	84680000	3
chr1	84644860	84701047	3
chr1	85121515	85136991	4
chr1	85131805	85136991	1
chr1	86818542	86820375	1
chr1	86818542	86851273	1
chr1	86836701	86848879	1
chr1	86838114	86848879	1
chr1	86838114	86851273	1
chr1	86841916	86848879	2
chr1	87181407	87185318	3
chr1	87328827	87328980	1
chr1	89225905	89237562	2
chr1	89236035	89251896	4
chr1	89236035	89237562	1
chr1	89250322	89251896	4
chr1	91382197	91383711	2
chr1	91382197	91406866	2
chr1	91403322	91404277	1
chr1	92207384	92207413	1
chr1	92220485	92224307	1
chr1	92786156	92789932	1
chr1	92786240	92801984	1
chr1	92798948	92846430	8
chr1	92798948	92811471	2
chr1	93070864	93073284	7
chr1	93070864	93091491	1
chr1	93070864	93101893	3
chr1	93128977	93142775	1
chr1	93128977	93161010	1
chr1	93201955	93202184	3
chr1	93575787	93584958	2
chr1	93674900	93674969	1
chr1	93676359	93682303	1
chr1	93676359	93698150	1
chr1	93677658	93682303	2
chr1	93677658	93683426	4
chr1	93682193	93692006	1
chr1	93683295	93692006	4
chr1	93683295	93698150	2
chr1	93683295	93705453	1
chr1	93687166	93692006	1
chr1	93687166	93712511	3
chr1	93691890	93705453	1
chr1	93701805	93712511	1
chr1	93721892	93724442	1
chr1	93827153	93827919	1
chr1	93915009	93915093	1
chr1	93965025	94000465	2
chr1	93989818	94000465	1
chr1	94016537	94016602	3
chr1	94032836	94033408	2
chr1	94140170	94140497	2
chr1	94360170	94367225	1
chr1	94643168	94655639	1
chr1	94667276	94697199	1
chr1	94669486	94671239	2
chr1	94685814	94697199	1
chr1	94924163	94948795	1
chr1	94924163	94956803	3
chr1	94924163	94946162	3
chr1	94924163	94941293	1
chr1	94924163	94933563	4
chr1	94953098	94956803	5
chr1	94964158	94965170	1
chr1	97216981	97250810	2
chr1	97235259	97236407	2
chr1	97235259	97250810	7
chr1	97243141	97250810	1
chr1	97270341	97278484	1
chr1	98144651	98165103	1
chr1	99150441	99164461	1
chr1	99156631	99167459	3
chr1	100346188	100361944	1
chr1	100459093	100464971	6
chr1	100568511	100576039	1
chr1	100572468	100588040	1
chr1	100588766	100591498	2
chr1	100602438	100606070	1
chr1	100889778	100908552	3
chr1	100905488	100921048	1
chr1	101372109	101387397	1
chr1	101372408	101387397	2
chr1	101379219	101387397	1
chr1	101477147	101479374	1
chr1	101487197	101491022	1
chr1	104078748	104080106	1
chr1	104078748	104079672	1
chr1	107601031	107601170	1
chr1	108686165	108703915	1
chr1	108686165	108728576	2
chr1	108690901	108703915	5
chr1	108697605	108728576	5
chr1	108700084	108703915	1
chr1	108703804	108728576	1
chr1	108724563	108728576	9
chr1	108724563	108738102	1
chr1	108873793	108881312	5
chr1	108873793	108876446	1
chr1	109192833	109202584	2
chr1	109200073	109202584	2
chr1	109294879	109302707	5
chr1	109336204	109339348	1
chr1	109336204	109342927	1
chr1	109553538	109560223	1
chr1	109553538	109566143	1
chr1	109766600	109774408	1
chr1	109773500	109774408	2
chr1	109869614	109888500	1
chr1	109884636	109888503	1
chr1	109952550	109953735	1
chr1	109952550	109957985	1
chr1	110125059	110129504	1
chr1	110458256	110467824	2
chr1	110551656	110560205	1
chr1	110561174	110562248	1
chr1	110564872	110564969	1
chr1	110566012	110566049	1
chr1	111690264	111690675	2
chr1	111690264	111703918	2
chr1	112934007	112998753	1
chr1	113098490	113159466	1
chr1	113098490	113159517	1
chr1	113119608	113121039	2
chr1	113119608	113126748	2
chr1	113119608	113134225	3
chr1	113134147	113143470	1
chr1	113134147	113159517	1
chr1	113140593	113159466	1
chr1	113143416	113153625	1
chr1	113196220	113202401	3
chr1	113201644	113212227	1
chr1	113459800	113460666	1
chr1	113616422	113650379	1
chr1	113633940	113637377	1
chr1	113633940	113643110	1
chr1	113633940	113662145	1
chr1	113635828	113657498	1
chr1	113655101	113659058	1
chr1	114246703	114247419	1
chr1	114267381	114269196	2
chr1	114267381	114301355	3
chr1	114280732	114281421	3
chr1	114319832	114320430	1
chr1	114450631	114450813	1
chr1	114483004	114500913	1
chr1	114942079	114968345	1
chr1	115005726	115007010	13
chr1	115256421	115258798	1
chr1	115272879	115292525	3
chr1	115275225	115292525	2
chr1	115275338	115292525	1
chr1	115276714	115277101	1
chr1	115316480	115316642	1
chr1	116202262	116206889	1
chr1	117078587	117087226	1
chr1	117911020	118065559	2
chr1	117944808	117948267	72
chr1	117944808	117957453	84
chr1	117944808	117963271	272
chr1	117944808	117984947	98
chr1	117944808	117984957	1
chr1	117944808	118009049	4
chr1	117944808	118045592	1
chr1	117944867	117944934	1
chr1	117984853	118045592	1
chr1	118003111	118009049	1
chr1	118003111	118045592	2
chr1	118035769	118045592	1
chr1	118454616	118461358	3
chr1	119573857	119576836	1
chr1	119573857	119588285	2
chr1	121298308	121310762	2
chr1	143915700	143916308	2
chr1	143915700	144014093	2
chr1	144048709	144053668	2
chr1	144892501	144923821	1
chr1	144892501	144927991	1
chr1	144903077	144923821	1
chr1	144909869	144912294	1
chr1	145578637	145584836	1
chr1	145592633	145595220	1
chr1	145598536	145601852	1
chr1	145646115	145663367	1
chr1	145646115	145687091	1
chr1	145650483	145682094	1
chr1	145684585	145687091	1
chr1	145765369	145803388	1
chr1	145769408	145771730	3
chr1	145769408	145818826	1
chr1	145787772	145791170	27
chr1	145787772	145818826	1
chr1	145811342	145818826	1
chr1	145884855	145923093	1
chr1	145897085	145900490	23
chr1	145916725	145919047	11
chr1	146736081	146737746	1
chr1	146739085	146740537	1
chr1	146747017	146757164	1
chr1	147408741	147416212	1
chr1	147441107	147465432	1
chr1	149239868	149255307	6
chr1	150064031	150082742	1
chr1	150198940	150201570	1
chr1	150202906	150204264	1
chr1	150300016	150300925	1
chr1	150310636	150312953	1
chr1	150318884	150321694	2
chr1	150381382	150418877	1
chr1	150413399	150416853	1
chr1	150418702	150418877	1
chr1	150418702	150430046	2
chr1	150464887	150469384	1
chr1	150597090	150597155	1
chr1	150634290	150636239	3
chr1	150634290	150667326	1
chr1	150679029	150689758	1
chr1	150997087	150998149	3
chr1	150997087	150999803	1
chr1	150999709	151001420	2
chr1	151060666	151070478	2
chr1	151060666	151079698	1
chr1	151089868	151090615	1
chr1	151139410	151139890	6
chr1	151156793	151158426	2
chr1	151204147	151206972	1
chr1	151209034	151209239	1
chr1	151234637	151236504	1
chr1	151288049	151288985	1
chr1	151610295	151611595	1
chr1	151611364	151665959	1
chr1	151611364	151655921	3
chr1	151611364	151611595	3
chr1	151611364	151641111	30
chr1	151630711	151641111	3
chr1	151747186	151755525	1
chr1	151860749	151861849	2
chr1	151955142	151958727	1
chr1	153610771	153614905	1
chr1	153610771	153615840	1
chr1	153635691	153636950	1
chr1	153637696	153641033	2
chr1	153637696	153641052	1
chr1	153727118	153730239	1
chr1	153732787	153737539	1
chr1	153735204	153737539	1
chr1	153784207	153785928	1
chr1	153791267	153792211	2
chr1	153800489	153800824	1
chr1	154145384	154145677	3
chr1	154184796	154186422	1
chr1	154197560	154209087	2
chr1	154197560	154223794	1
chr1	154197560	154201201	1
chr1	154213989	154218851	2
chr1	154223517	154224129	3
chr1	154233368	154239044	2
chr1	154300581	154306832	1
chr1	154555539	154555818	1
chr1	154558657	154562404	1
chr1	154561027	154569743	1
chr1	154946435	154946502	1
chr1	155307880	155308181	1
chr1	155311857	155313252	1
chr1	155330092	155340774	1
chr1	155340295	155365344	1
chr1	155348072	155365344	1
chr1	155408118	155408859	6
chr1	155408118	155429689	42
chr1	155408118	155447749	2
chr1	155490891	155491409	1
chr1	155737216	155747611	1
chr1	155740858	155746272	1
chr1	155742857	155747611	1
chr1	155774740	155784240	1
chr1	155783425	155784240	1
chr1	155790397	155796819	1
chr1	155823067	155823597	11
chr1	155874102	155874595	1
chr1	155891166	155895634	1
chr1	155891166	155891709	3
chr1	155984752	155988159	1
chr1	156106189	156106227	2
chr1	156280406	156280451	1
chr1	156286957	156287338	1
chr1	156303338	156304709	8
chr1	156444900	156446994	1
chr1	156878708	156879900	1
chr1	158056386	158058244	1
chr1	159888553	159890327	2
chr1	160183027	160183383	1
chr1	160195381	160231190	1
chr1	160208397	160231148	1
chr1	160261802	160263253	1
chr1	160302238	160310084	2
chr1	161293404	161326630	1
chr1	161721656	161723051	2
chr1	161748034	161772062	1
chr1	161748034	161833102	2
chr1	161748034	161762117	1
chr1	161748034	161753886	1
chr1	161816239	161833102	1
chr1	161967615	161989972	1
chr1	162257134	162270496	2
chr1	162355424	162355773	1
chr1	162535802	162536138	1
chr1	162546567	162558623	1
chr1	162567582	162570693	1
chr1	163115856	163116862	1
chr1	163298636	163318870	1
chr1	165712404	165723511	2
chr1	165859441	165860559	2
chr1	166831440	166833158	1
chr1	167734820	167742605	1
chr1	167734820	167745403	1
chr1	167734820	167757374	1
chr1	167741512	167742605	1
chr1	167741512	167745403	1
chr1	167921038	167944253	9
chr1	167935867	167944253	19
chr1	167935867	167960577	1
chr1	167988783	167992285	1
chr1	168007609	168014465	1
chr1	169199956	169256646	1
chr1	169199956	169279318	2
chr1	169292355	169293738	1
chr1	169346376	169347767	1
chr1	169767998	169770112	1
chr1	169767998	169777070	1
chr1	170508351	170513986	1
chr1	170511632	170513986	1
chr1	171492360	171496983	1
chr1	171493960	171496983	2
chr1	171537386	171544267	3
chr1	171537386	171556890	1
chr1	171548493	171556890	1
chr1	172520652	172548407	1
chr1	172520652	172560211	1
chr1	172520652	172526934	1
chr1	172525009	172526934	2
chr1	172525009	172560211	1
chr1	172538159	172548407	1
chr1	172577887	172577942	1
chr1	173743444	173757100	2
chr1	173807328	173810111	1
chr1	173910403	173912753	1
chr1	173947626	173950147	1
chr1	174188263	174190302	1
chr1	174188386	174247917	1
chr1	174200283	174274265	1
chr1	174244971	174274265	1
chr1	174340117	174363283	1
chr1	176012322	176015460	2
chr1	176012322	176105683	1
chr1	176012322	176118210	3
chr1	176050288	176104222	2
chr1	176050288	176105683	4
chr1	176050288	176085817	1
chr1	176085760	176105683	4
chr1	176085760	176153828	1
chr1	176104146	176133027	4
chr1	176104146	176145143	1
chr1	176118142	176145143	1
chr1	176118142	176153828	4
chr1	176132005	176133027	1
chr1	176132005	176153828	3
chr1	176145046	176153828	1
chr1	176668236	176681117	2
chr1	176668236	176769268	2
chr1	176668636	176681117	1
chr1	176809309	176811749	2
chr1	178252699	178269253	1
chr1	178252699	178359341	1
chr1	178428063	178433547	1
chr1	178745817	178754742	1
chr1	178863054	178876002	1
chr1	179012850	179023773	2
chr1	179033062	179033631	1
chr1	179075359	179076646	1
chr1	179086467	179091002	1
chr1	179087722	179091002	3
chr1	179089325	179091002	1
chr1	179262384	179307031	1
chr1	179271812	179307031	2
chr1	179292572	179307031	4
chr1	179292572	179304792	2
chr1	179304641	179307031	1
chr1	179306972	179310445	4
chr1	179310359	179320597	1
chr1	179311249	179312770	3
chr1	179311249	179318077	1
chr1	179314082	179318077	1
chr1	179877740	179887215	1
chr1	179886587	179887215	1
chr1	179955304	179966310	2
chr1	179959642	179961356	5
chr1	179959642	179966310	3
chr1	179972309	179975702	4
chr1	180000455	180017840	1
chr1	180257405	180368285	1
chr1	180366651	180382606	8
chr1	180366651	180399397	2
chr1	180461404	180464660	1
chr1	180772524	180794480	1
chr1	180772524	180780624	1
chr1	180793889	180794480	2
chr1	180804010	180843078	1
chr1	180953813	180962561	32
chr1	180953813	180972831	1
chr1	180953813	180974599	2
chr1	180957375	180974599	1
chr1	180962499	180974599	1
chr1	180971742	180974599	4
chr1	182811680	182812569	1
chr1	182811798	182821479	1
chr1	182841472	182849743	1
chr1	182853748	182853948	1
chr1	183513488	183518423	4
chr1	183599596	183602287	1
chr1	183604672	183604755	1
chr1	184675777	184681011	2
chr1	184701971	184718726	1
chr1	185056684	185060898	1
chr1	185056684	185069011	1
chr1	185056684	185062408	1
chr1	185060711	185062408	3
chr1	185113038	185121067	1
chr1	185265771	185274775	1
chr1	185265829	185274775	1
chr1	185269131	185274775	1
chr1	185269569	185274775	1
chr1	185269691	185270103	1
chr1	185270239	185280355	1
chr1	185270566	185275757	1
chr1	185277932	185280261	1
chr1	186287579	186287960	2
chr1	186325418	186330841	1
chr1	186357574	186358756	2
chr1	186359843	186360923	3
chr1	186375215	186388209	8
chr1	186380943	186386786	1
chr1	186862143	186880521	4
chr1	192880234	192880611	1
chr1	192989437	192993076	1
chr1	192989437	192998787	4
chr1	192990227	192998787	6
chr1	192992056	192998787	1
chr1	192992145	193018950	2
chr1	192992974	192998787	1
chr1	192997215	193020947	1
chr1	192997215	192998787	1
chr1	193044950	193046180	2
chr1	193044950	193053828	1
chr1	193110980	193121574	1
chr1	193172925	193181607	6
chr1	193172925	193205486	2
chr1	193181195	193181607	1
chr1	193181195	193205486	2
chr1	193181195	193219001	1
chr1	193202123	193205486	5
chr1	197053484	197061140	1
chr1	197086919	197091725	1
chr1	197086919	197094321	4
chr1	197086919	197104372	4
chr1	197091045	197097690	1
chr1	197091045	197097795	1
chr1	197141290	197161029	1
chr1	197576203	197643299	1
chr1	197576203	197627499	1
chr1	197611841	197621445	1
chr1	197611841	197627499	7
chr1	197611841	197643299	1
chr1	197621365	197643299	1
chr1	197641167	197643299	3
chr1	198222170	198233365	1
chr1	198248084	198266370	1
chr1	200523596	200586873	1
chr1	200528458	200555355	1
chr1	200534197	200584737	1
chr1	200534197	200584593	1
chr1	200539039	200584737	1
chr1	200544719	200550422	2
chr1	200549382	200567549	1
chr1	200550329	200562897	1
chr1	200558345	200561368	1
chr1	200574992	200577969	1
chr1	200583446	200587966	1
chr1	200583446	200584737	2
chr1	200617567	200635334	1
chr1	200617567	200635879	2
chr1	200628155	200635879	1
chr1	200729967	200730226	6
chr1	200729967	200784772	11
chr1	200729967	200801973	1
chr1	200776504	200784772	2
chr1	200821669	200826552	1
chr1	201821232	201828122	1
chr1	201823723	201826322	1
chr1	201826224	201828122	5
chr1	201826224	201840455	1
chr1	201845719	201846279	1
chr1	201938749	201939409	1
chr1	202301030	202304891	1
chr1	202385915	202398057	1
chr1	202724399	202727638	1
chr1	202976902	202977938	1
chr1	203672780	203696699	1
chr1	203797427	203802981	1
chr1	203801840	203801957	1
chr1	204082043	204083733	3
chr1	204082043	204086835	4
chr1	204234070	204243937	1
chr1	204437998	204439014	4
chr1	204506558	204512072	1
chr1	205119808	205126514	1
chr1	205585606	205589122	1
chr1	205585606	205593019	16
chr1	205677814	205681106	1
chr1	205686828	205698749	1
chr1	205689629	205698749	1
chr1	205693054	205696933	2
chr1	205693054	205698749	4
chr1	206769067	206778860	1
chr1	206769067	206785710	2
chr1	206773617	206784727	1
chr1	207504453	207504641	1
chr1	207504474	207504629	1
chr1	207510038	207510087	2
chr1	207510058	207510108	10
chr1	207930359	207933069	3
chr1	207941124	207943707	4
chr1	207989274	207990759	4
chr1	208266131	208270228	1
chr1	210003453	210004388	1
chr1	211092982	211094309	1
chr1	211433450	211452658	1
chr1	211433450	211469095	1
chr1	211433450	211471185	1
chr1	211444870	211447604	1
chr1	211526581	211527809	4
chr1	212125907	212142045	1
chr1	212139772	212142049	1
chr1	212179981	212194554	1
chr1	212218002	212220759	3
chr1	212273704	212273764	1
chr1	213037067	213037861	2
chr1	213037067	213046160	5
chr1	213037067	213058738	3
chr1	213037067	213061936	2
chr1	213037067	213062599	4
chr1	213037067	213068696	1
chr1	213139064	213139687	1
chr1	213251038	213303232	2
chr1	213251038	213290752	4
chr1	213277796	213303232	1
chr1	213290659	213303232	2
chr1	213309099	213349835	1
chr1	213341201	213436159	1
chr1	213415912	213552225	1
chr1	213434901	213436159	3
chr1	214478530	214510283	1
chr1	214575028	214638300	1
chr1	214625148	214638300	1
chr1	214637973	214638300	3
