Chr	Start	End	polyA_pairs_Chimeric.out.junction
chr14	23346827	23346984	1
chr14	69256019	69256208	1
chr14	70497625	70497696	1
chr15	23048121	23048390	1
chr15	40328396	40328440	1
chr15	41149528	41149733	1
chr15	60639663	60639772	2
chr15	60643392	60644018	1
chr15	64791492	64792365	6
chr15	66791777	66791809	1
chr15	72499540	72501014	2
chr15	74489479	74489794	1
chr15	74914490	74914878	1
chr15	89742772	89743042	1
chr15	94899366	94945248	1
chr16	418328	418560	1
chr16	697899	698104	1
chr16	2012165	2012261	1
chr16	2026897	2027285	1
chr16	2811668	2811808	1
chr16	2816346	2816558	1
chr16	4920882	4920939	1
chr16	70310950	70316558	1
chr16	81743571	81744049	1
chr16	81744637	81744847	1
chr16	87865704	87865982	1
chr16	90071966	90072107	1
chr17	1557131	1561610	1
chr17	1715265	1715409	1
chr17	1964121	1964196	2
chr17	7369670	7369924	2
chr17	7812748	7813277	2
chr17	17723454	17723525	1
chr17	38150670	38151200	1
chr17	38421099	38421314	1
chr17	39978538	39978654	1
chr17	42112715	42112909	2
chr17	42153277	42153544	1
chr17	43037273	43037546	1
chr17	45668162	45669911	1
chr17	45760699	45760871	1
chr17	48051613	48051753	1
chr17	48823978	48824063	1
chr17	62496333	62496446	1
chr17	62498591	62498645	1
chr17	73842496	73842852	1
chr17	73842725	73842837	2
chr17	75398141	75398785	1
chr17	78442896	78443295	1
chr18	6462932	6463002	1
chr18	71958982	71959101	1
chr19	1147308	1154401	1
chr19	3977271	3977333	1
chr19	5600141	5600255	1
chr19	6222604	6222669	1
chr19	9007487	9012898	4
chr19	13039569	13041116	1
chr19	14626228	14626380	1
chr19	16528410	16532185	1
chr19	18306978	18307177	1
chr19	35988194	35988387	1
chr19	39216490	39216543	1
chr19	40448962	40449189	1
chr19	40449339	40449497	1
chr19	41700563	41703726	1
chr19	41712955	41713189	1
chr19	41770628	41778140	1
chr19	44050813	44050926	1
chr19	45797613	45805956	1
chr19	49510587	49513792	1
chr19	50338399	50339083	1
chr19	52091089	52091256	2
chr19	54042470	54059162	1
chr19	56117271	56117680	1
chr2	36623757	36623930	2
chr2	39109554	39109701	1
chr2	65213018	65213204	1
chr2	73834612	73834704	1
chr2	96959110	96961330	1
chr2	106002818	106002997	1
chr2	130910658	130911508	1
chr2	135208841	135209041	1
chr2	136527339	136528305	1
chr2	176044826	176046178	1
chr2	211459232	211460306	1
chr2	220427266	220428218	1
chr2	232326675	232327966	1
chr2	232576076	232576635	1
chr2	233246636	233246793	1
chr2	233246636	233246823	1
chr2	233681606	233681742	1
chr2	242181989	242182078	1
chr20	11905347	11905535	1
chr20	30954187	30956926	1
chr20	33515031	33515122	1
chr20	34389413	34389527	1
chr20	42089556	42089678	2
chr20	45838603	45838680	1
chr20	52830932	52830997	1
chr20	57485407	57485456	2
chr20	60886018	60886306	1
chr20	62221066	62221379	2
chr20	62565715	62565877	2
chr21	27347383	27484463	1
chr21	27484296	27484463	2
chr21	42622679	42629253	1
chr21	46275125	46281186	1
chr22	19445594	19455484	1
chr22	22049802	22050016	1
chr22	29692296	29695699	1
chr22	38687035	38687429	1
chr22	41265055	41277965	1
chr22	42303086	42303145	2
chr22	42606898	42607026	1
chr22	45601674	45607878	1
chr22	46134611	46136418	1
chr22	50702262	50702554	2
chr3	9519155	9519245	1
chr3	31666513	31670903	1
chr3	33038494	33038624	1
chr3	50311843	50312013	1
chr3	53274267	53276258	1
chr3	53326476	53326612	1
chr3	113010545	113013668	1
chr3	127801326	127806641	1
chr3	128199775	128199978	1
chr3	134196982	134197102	1
chr3	188002098	188002244	1
chr4	6302705	6302908	1
chr4	39314372	39318561	1
chr4	83276457	83277984	1
chr4	122591109	122602916	1
chr4	123797476	123797579	1
chr4	128995615	129019485	1
chr4	146076563	146092872	1
chr4	166232695	166234518	1
chr5	235305	236635	1
chr5	1814453	1816168	1
chr5	14295141	14295523	2
chr5	38886161	38886215	1
chr5	58284320	58289292	1
chr5	71516635	71516714	1
chr5	77409576	77409743	1
chr5	77511879	77512061	2
chr5	94014513	94022423	1
chr5	126140505	126145997	1
chr5	137759779	137760025	1
chr5	137891172	137891476	1
chr5	138160219	138163407	2
chr5	140053794	140057600	1
chr5	140895465	140895652	1
chr5	149776387	149778014	3
chr5	149826493	149827275	1
chr5	154172252	154172356	1
chr5	175837258	175843271	1
chr5	176887645	176893833	1
chr5	179044608	179045238	1
chr5	179146669	179146782	1
chr6	4891947	4892613	1
chr6	17760794	17760933	1
chr6	24714546	24716552	1
chr6	33257547	33258531	1
chr6	34213431	34213589	1
chr6	42559889	42562042	3
chr6	43472862	43473380	1
chr6	44220938	44221105	1
chr6	84025029	84061858	1
chr6	90371150	90371864	2
chr6	125366357	125366590	1
chr6	159398577	159398669	1
chr6_dbb_hap3	1205282	1522061	1
chr6_mcf_hap5	2619452	2703805	2
chr6_qbl_hap6	1329999	1330124	1
chr6_qbl_hap6	1945938	1946314	1
chr6_qbl_hap6	2615762	2643353	12
chr6_ssto_hap7	2023800	2023962	2
chr6_ssto_hap7	3484250	3484730	1
chr7	753787	753948	1
chr7	1526956	1527070	1
chr7	1588954	1588987	1
chr7	2188787	2259091	1
chr7	11021999	11030474	1
chr7	24663285	24708279	1
chr7	44106661	44106762	1
chr7	72301331	72302378	1
chr7	72892274	72892402	2
chr7	74807770	74812194	1
chr7	75932187	75933486	1
chr7	91874779	91874960	1
chr7	100201949	100201994	1
chr7	100804025	100804242	2
chr7	101926426	101926636	1
chr7	104783531	104783591	1
chr7	110603556	110603621	1
chr7	111127294	111172641	1
chr7	131195886	131196188	1
chr7	143080249	143080415	2
chr7	148427054	148427304	1
chr7	150026374	150026483	1
chr8	22277083	22277403	1
chr8	25266424	25268761	1
chr8	42317414	42330172	1
chr8	145583935	145584085	1
chr8	146015261	146015840	1
chr8	146157355	146157522	1
chr9	6587161	6589224	1
chr9	15474015	15474140	1
chr9	33265181	33265276	1
chr9	33971649	33996331	1
chr9	35684485	35685114	1
chr9	35697512	35697704	1
chr9	100767421	100774754	5
chr9	117168807	117168954	1
chr9	130575639	130575835	1
chr9	131019198	131019366	1
chr9	131023497	131023840	1
chr9	131345425	131346248	1
chr9	139729767	139729914	1
chr9	140007213	140007540	1
chr9	140605419	140648743	1
chrX	1508384	1508509	2
chrX	31462700	31496429	1
chrX	41084063	41084390	1
chrX	47084474	47086028	1
chrX	48929110	48929384	2
chrX	48929198	48929384	1
chrX	53672263	53681075	1
chrX	64961203	64961525	1
chrX	76907604	76920267	2
chrX	134167082	134167316	1
chrX	135593715	135593900	1
chrX	148561594	148561805	1
chrX	153217419	153218107	1
chrY	1458384	1458509	8
