Chr	Start	End	Hela_RNaseR-plus_pairs_Chimeric.out.junction
chr1	6393537	6399649	1
chr1	6592028	6592820	2
chr1	6659107	6659512	3
chr1	6727769	6741097	2
chr1	6879380	6885270	1
chr1	6931817	6948959	1
chr1	7837220	7838229	26
chr1	7854017	7863908	1
chr1	7895822	7897209	2
chr1	8555123	8557589	2
chr1	8555123	8568734	5
chr1	8601273	8617582	3
chr1	8601273	8674745	2
chr1	8616534	8674745	1
chr1	8672105	8684439	1
chr1	8674620	8684439	3
chr1	8674620	8716500	3
chr1	8852463	8852647	1
chr1	8923988	8926518	1
chr1	8926338	8927309	1
chr1	9627342	9633470	1
chr1	9790463	9811720	2
chr1	9800716	9801314	4
chr1	9803942	9804701	1
chr1	9815172	9833452	1
chr1	9931245	9938047	1
chr1	9991949	9992956	2
chr1	9991949	9994918	17
chr1	9991949	9995685	3
chr1	10032076	10041228	5
chr1	10132086	10132272	1
chr1	10132086	10165802	1
chr1	10155519	10165802	11
chr1	10177425	10192540	1
chr1	10204998	10207148	1
chr1	10292308	10338186	1
chr1	10316305	10322028	1
chr1	10318551	10338186	1
chr1	10327438	10328321	3
chr1	10327438	10332364	1
chr1	10331560	10335561	2
chr1	10331560	10336457	1
chr1	10338044	10342591	1
chr1	10394578	10406011	1
chr1	10463128	10473308	2
chr1	10463128	10464336	1
chr1	10596270	10659423	1
chr1	11076901	11078930	1
chr1	11114660	11116751	1
chr1	11133991	11134383	1
chr1	11133991	11137005	1
chr1	11133991	11139879	1
chr1	11181152	11182183	1
chr1	11272369	11276291	1
chr1	11313896	11319480	1
chr1	11731323	11732080	1
chr1	11736103	11740670	1
chr1	11860269	11863186	1
chr1	12008033	12012792	1
chr1	12008033	12033054	1
chr1	12016974	12018704	1
chr1	12030727	12033054	1
chr1	12049222	12057478	1
chr1	12061458	12062160	2
chr1	12064129	12064658	1
chr1	12331051	12338095	1
chr1	12335882	12338095	2
chr1	12359259	12368698	2
chr1	12378129	12395884	1
chr1	12401840	12476880	1
chr1	12418515	12446393	1
chr1	12443035	12464026	1
chr1	12638746	12639440	2
chr1	14057495	14068652	1
chr1	15844605	15844890	1
chr1	15855583	15863309	3
chr1	15860732	15863309	1
chr1	15886021	15888820	1
chr1	15953164	15960060	1
chr1	15953164	15970145	1
chr1	15956820	15976318	1
chr1	15964802	15970145	1
chr1	15964802	15976318	1
chr1	15964802	15978390	5
chr1	15970017	15976318	1
chr1	15976215	15978390	1
chr1	16044388	16047883	1
chr1	16045033	16047883	1
chr1	16046229	16047883	1
chr1	16237596	16242774	1
chr1	16245421	16249108	1
chr1	16458216	16464925	1
chr1	16464348	16464925	2
chr1	16528277	16529069	3
chr1	16621278	16632414	2
chr1	17256619	17257892	1
chr1	17273256	17273486	1
chr1	17349103	17350569	1
chr1	17907048	17914974	12
chr1	17928622	17934472	1
chr1	17961330	17991090	1
chr1	17964383	17975170	1
chr1	17975049	17983203	1
chr1	19497256	19500941	1
chr1	19510305	19511780	1
chr1	19518682	19519034	1
chr1	19523635	19528309	1
chr1	19670852	19684057	1
chr1	20063865	20073753	1
chr1	20097801	20113610	1
chr1	20216878	20220973	2
chr1	20216878	20234369	1
chr1	20216878	20231480	1
chr1	21071237	21076375	1
chr1	21071237	21100103	3
chr1	21071237	21107033	2
chr1	21076216	21076468	3
chr1	21076216	21100103	4
chr1	21083659	21100103	12
chr1	21083659	21107033	5
chr1	21083679	21094144	1
chr1	21091870	21107033	2
chr1	21094077	21107033	1
chr1	21097423	21100103	10
chr1	21175908	21177971	1
chr1	21220010	21221994	4
chr1	21220010	21231464	2
chr1	21226190	21226436	1
chr1	21267457	21268823	1
chr1	21267984	21268823	1
chr1	21267984	21276601	1
chr1	21295967	21307720	3
chr1	21327692	21329301	2
chr1	21415631	21423819	1
chr1	21548240	21554534	1
chr1	21571482	21573856	1
chr1	21599192	21616649	4
chr1	21797125	21799408	1
chr1	21880471	21889777	1
chr1	21880471	21896867	1
chr1	21887119	21887705	2
chr1	21943799	21946543	1
chr1	22007301	22021714	1
chr1	22027991	22030111	1
chr1	22041882	22048257	2
chr1	22047529	22056325	1
chr1	22074631	22078108	5
chr1	22074631	22079612	1
chr1	22078000	22084276	1
chr1	22169263	22170792	1
chr1	22180686	22182405	1
chr1	22188250	22188608	1
chr1	22206600	22207995	1
chr1	22404922	22413359	13
chr1	22404922	22417994	2
chr1	22408215	22417994	1
chr1	22816373	22818026	19
chr1	23107914	23111569	2
chr1	23609387	23615245	1
chr1	23650049	23660124	1
chr1	23660011	23665101	1
chr1	23660011	23667510	1
chr1	23664983	23669407	1
chr1	24020374	24022398	1
chr1	24021150	24023000	1
chr1	24077335	24079008	1
chr1	24086002	24086303	1
chr1	24134625	24147083	1
chr1	24143165	24147083	1
chr1	24297828	24301585	1
chr1	24298340	24301585	1
chr1	24495907	24507344	1
chr1	24766662	24779994	1
chr1	24840804	24841057	4
chr1	24862382	24862641	1
chr1	24989151	24993416	1
chr1	25568865	25570989	1
chr1	25678117	25683344	3
chr1	25810607	25824710	1
chr1	26156000	26156321	1
chr1	26566253	26570809	1
chr1	26566253	26586293	3
chr1	26570657	26586293	1
chr1	26581662	26582356	1
chr1	26581662	26586293	1
chr1	26584088	26586293	12
chr1	26594974	26596105	6
chr1	26610998	26611954	1
chr1	26620696	26624553	1
chr1	26759382	26769364	1
chr1	26759382	26774151	1
chr1	26772807	26774151	12
chr1	26784282	26786635	1
chr1	27056142	27059283	7
chr1	27057771	27057830	1
chr1	27087347	27089776	1
chr1	27218902	27224216	1
chr1	27269148	27269556	2
chr1	27269151	27269556	9
chr1	27328765	27329676	1
chr1	27682517	27682991	1
chr1	27688397	27688577	1
chr1	27734050	27734511	1
chr1	27741327	27755443	1
chr1	27884816	27885394	2
chr1	27994737	27995857	1
chr1	28116073	28120143	3
chr1	28116073	28128326	2
chr1	28337458	28343750	1
chr1	28362055	28369161	1
chr1	28362055	28374937	1
chr1	28362055	28384605	7
chr1	28365350	28374937	1
chr1	28422440	28422819	2
chr1	28785596	28793046	1
chr1	28785596	28793279	1
chr1	28800066	28800663	1
chr1	28815682	28817524	1
chr1	28817463	28819603	1
chr1	28906195	28906493	1
chr1	28930040	28948677	1
chr1	28931884	28948677	1
chr1	28944465	28948677	1
chr1	29313943	29314417	2
chr1	29313943	29342279	1
chr1	29313960	29391670	1
chr1	29319842	29323831	1
chr1	29359605	29424447	1
chr1	29362338	29365938	2
chr1	29379616	29391670	1
chr1	29385101	29391670	1
chr1	29385101	29424447	1
chr1	29386934	29424447	2
chr1	29481208	29481422	10
chr1	29481208	29492576	1
chr1	29520364	29529745	1
chr1	29542517	29547454	1
chr1	29581787	29587415	1
chr1	31452909	31454252	1
chr1	31452909	31501711	1
chr1	31465237	31468067	42
chr1	31465237	31479949	7
chr1	31478700	31479949	8
chr1	31478700	31501711	3
chr1	31532051	31532424	5
chr1	31764760	31766195	1
chr1	31898623	31899670	1
chr1	32206974	32208603	1
chr1	32495899	32510991	3
chr1	32495899	32505174	1
chr1	32495899	32504220	1
chr1	32495899	32499774	1
chr1	32495899	32498935	2
chr1	32495899	32497241	2
chr1	32502511	32504220	5
chr1	32502511	32505174	3
chr1	32508744	32509174	1
chr1	32650126	32653725	1
chr1	32653555	32653725	1
chr1	32653555	32655850	2
chr1	32657912	32658901	2
chr1	32689635	32690076	3
chr1	32691772	32692131	1
chr1	32694100	32694417	1
chr1	32697345	32697785	2
chr1	32706738	32706846	1
chr1	32792540	32793278	1
chr1	33085161	33100393	2
chr1	33093109	33100393	1
chr1	33097428	33099711	1
chr1	33097428	33100393	1
chr1	33099246	33099711	1
chr1	33133826	33138502	1
chr1	33138051	33138502	1
chr1	33160466	33161645	1
chr1	33244983	33246746	1
chr1	33276192	33276658	2
chr1	33290914	33318767	1
chr1	33409620	33411229	3
chr1	33413823	33415375	7
chr1	33760538	33760906	8
chr1	35476048	35476637	1
chr1	35569896	35576048	1
chr1	35642920	35646853	1
chr1	35846860	35847359	3
chr1	35846860	35854683	6
chr1	35846860	35855699	5
chr1	35846860	35873760	1
chr1	35854511	35855699	1
chr1	35857813	35865177	1
chr1	35879573	35881315	1
chr1	35908507	35909904	1
chr1	35913774	35921842	1
chr1	35936464	35944813	5
chr1	36211052	36212593	2
chr1	36213508	36214205	3
chr1	36213508	36215412	1
chr1	36282483	36307351	1
chr1	36306766	36307351	1
chr1	36411293	36439112	4
chr1	36432556	36439112	1
chr1	36501778	36506042	1
chr1	36505391	36509149	2
chr1	36557219	36559115	1
chr1	36636572	36639079	2
chr1	36754661	36758310	1
chr1	36823840	36824423	1
chr1	37967405	37979139	1
chr1	37974879	37975143	1
chr1	38049295	38058407	1
chr1	38052912	38054683	5
chr1	38164577	38167490	1
chr1	38331433	38334286	1
chr1	38332131	38339760	1
chr1	38425792	38435407	1
chr1	38442556	38449932	1
chr1	38450379	38453508	1
chr1	38453245	38453508	1
chr1	39463843	39469090	1
chr1	39463843	39472119	1
chr1	39466644	39469090	1
chr1	39494395	39500256	1
chr1	39775242	39776672	1
chr1	39802198	39854330	1
chr1	39851106	39854330	1
chr1	39888046	39888572	1
chr1	39924758	39950402	1
chr1	40214758	40218558	1
chr1	40306807	40309890	1
chr1	40306807	40315933	1
chr1	40306807	40323089	1
chr1	40319642	40323089	1
chr1	40537430	40538119	1
chr1	40555082	40557071	1
chr1	40555082	40558179	2
chr1	40654727	40661436	4
chr1	40654727	40668286	9
chr1	40656444	40668286	2
chr1	40733458	40737707	4
chr1	40733458	40747199	1
chr1	41282937	41283962	1
chr1	41282937	41285932	1
chr1	41300639	41300985	1
chr1	41448950	41457517	1
chr1	41461589	41463198	1
chr1	41463066	41466789	2
chr1	41463066	41467926	2
chr1	41463066	41468848	1
chr1	41466701	41467926	1
chr1	41474466	41475261	2
chr1	41474466	41475926	3
chr1	41512079	41536393	2
chr1	41536267	41541123	26
chr1	41578955	41582682	11
chr1	41578955	41608784	6
chr1	41578955	41627104	2
chr1	42094420	42094618	2
chr1	42328707	42335301	1
chr1	42654408	42744343	1
chr1	42693554	42776781	2
chr1	42730786	42744343	7
chr1	42730786	42744455	4
chr1	42730786	42776781	8
chr1	42744019	42744343	2
chr1	43130534	43132258	1
chr1	43239212	43241150	1
chr1	43239217	43241150	1
chr1	43239234	43241150	4
chr1	43825161	43825895	1
chr1	43868848	43870221	1
chr1	44087881	44088090	1
chr1	44137176	44149475	3
chr1	44160380	44163684	1
chr1	44257773	44303983	1
chr1	44386076	44386600	2
chr1	44386076	44387310	1
chr1	44425921	44426934	1
chr1	44467985	44468657	2
chr1	44474025	44474295	2
chr1	44571093	44579593	1
chr1	44595025	44599057	1
chr1	44680375	44685550	1
chr1	44683414	44683577	1
chr1	44713611	44717214	1
chr1	44750507	44785416	2
chr1	44773982	44785416	3
chr1	44804717	44804994	12
chr1	44876256	44878394	2
chr1	44877653	44878394	15
chr1	45216114	45219505	1
chr1	45223228	45223812	19
chr1	45323376	45363116	1
chr1	45347284	45363116	1
chr1	45470272	45474373	1
chr1	45553553	45553909	1
chr1	45976949	45977065	1
chr1	45977005	45984726	1
chr1	45980545	45984726	2
chr1	46032241	46032692	14
chr1	46049780	46072263	1
chr1	46067927	46072263	1
chr1	46079768	46082065	1
chr1	46079965	46081143	1
chr1	46093932	46106075	1
chr1	46099161	46108171	1
chr1	46105882	46108171	1
chr1	46120215	46126049	1
chr1	46124700	46126897	1
chr1	46193303	46206792	1
chr1	46348036	46425149	1
chr1	46383011	46425149	1
chr1	46521467	46546422	1
chr1	46527601	46546422	1
chr1	46543187	46546422	1
chr1	46654852	46663543	1
chr1	46744854	46764042	2
chr1	46774773	46775988	3
chr1	47725961	47737913	2
chr1	47728575	47737913	1
chr1	47737748	47765824	1
chr1	47745913	47748131	7
chr1	47746618	47770668	1
chr1	47753223	47770668	1
chr1	47761437	47765824	1
chr1	47761437	47767420	7
chr1	47761437	47776034	1
chr1	47767233	47776034	1
chr1	47767906	47778646	1
chr1	47767906	47778693	1
chr1	47834141	47838779	1
chr1	48240842	48244216	1
chr1	48244126	48244216	1
chr1	48244126	48253567	1
chr1	48260258	48267291	1
chr1	48434255	48434693	1
chr1	51048290	51061888	1
chr1	51048290	51121200	1
chr1	51121114	51210447	1
chr1	51253672	51267349	13
chr1	51829538	51831701	1
chr1	51860053	51866625	1
chr1	51860053	51912938	1
chr1	51860053	51913807	2
chr1	51864704	51913807	1
chr1	51868107	51874004	4
chr1	51871577	51874004	1
chr1	51902778	51913807	1
chr1	51906019	51912777	1
chr1	51929345	51930998	1
chr1	52211208	52215867	1
chr1	52211208	52231653	2
chr1	52215817	52227643	1
chr1	52215817	52231653	2
chr1	52215817	52237854	1
chr1	52237742	52238395	3
chr1	52269486	52275073	1
chr1	52275953	52299729	1
chr1	52275953	52299842	1
chr1	52279707	52299842	1
chr1	52289336	52299842	5
chr1	52293468	52299842	3
chr1	52729445	52747488	1
chr1	52911459	52927441	1
chr1	52924008	52933939	1
chr1	52954274	52954707	1
chr1	52954581	52959334	1
chr1	52954581	52981726	1
chr1	52959283	52975384	12
chr1	52981563	52992045	3
chr1	53245525	53262456	1
chr1	53279208	53282301	1
chr1	53320137	53323421	2
chr1	53322670	53326543	1
chr1	53322670	53329829	1
chr1	53326403	53333449	3
chr1	53326403	53343515	2
chr1	53332175	53333449	1
chr1	53343354	53343641	1
chr1	53351505	53358647	7
chr1	53493641	53504718	2
chr1	53727035	53727166	1
chr1	53736700	53737018	1
chr1	53736700	53738314	1
chr1	54238002	54254869	1
chr1	54252831	54254869	4
chr1	54254806	54262817	1
chr1	54258902	54262817	1
chr1	54258902	54266521	1
chr1	54258902	54262477	1
chr1	54269601	54272190	2
chr1	54506429	54513045	2
chr1	54717289	54722859	1
chr1	55340766	55341720	3
chr1	55517355	55517587	1
chr1	55523709	55524320	2
chr1	55534477	55537523	1
chr1	55559610	55564231	1
chr1	55608415	55631623	1
chr1	56977648	56990226	1
chr1	59126842	59134710	1
chr1	59221034	59241878	1
chr1	59231782	59241878	1
chr1	59787208	59805741	1
chr1	59787208	59812070	4
chr1	59787208	59844509	2
chr1	59787208	59978111	1
chr1	59805630	59812070	2
chr1	59805630	59844509	2
chr1	60103900	60125965	1
chr1	61739627	61743257	1
chr1	61743192	61824946	4
chr1	61798184	61824946	1
chr1	61798184	61849037	1
chr1	61818122	61824946	2
chr1	61869776	61872399	3
chr1	62149089	62160442	1
chr1	62149089	62166697	1
chr1	62228530	62235094	1
chr1	62257020	62263100	1
chr1	62321702	62330305	1
chr1	62483528	62503721	1
chr1	62545122	62550320	1
chr1	62586853	62614062	1
chr1	62907159	62907970	10
chr1	62908830	62914337	1
chr1	62916019	62916368	1
chr1	63042933	63044637	1
chr1	63042933	63052295	1
chr1	63085571	63100593	1
chr1	63119396	63128801	1
chr1	63282246	63286880	1
chr1	63877597	63885111	1
chr1	63944435	63955889	1
chr1	63944435	63974241	6
chr1	64095096	64104471	1
chr1	64117340	64120137	1
chr1	64515363	64516388	1
chr1	65047839	65068595	2
chr1	65047839	65107652	1
chr1	65095038	65099943	1
chr1	65234339	65255197	2
chr1	65243306	65255197	2
chr1	65268659	65280523	1
chr1	65278421	65280523	1
chr1	65339053	65352024	1
chr1	65344708	65352024	1
chr1	65811294	65831879	1
chr1	65830318	65831879	31
chr1	67356837	67371058	2
chr1	67423742	67428843	1
chr1	67861088	67868100	2
chr1	67861088	67871451	1
chr1	70650468	70654956	1
chr1	70694105	70698060	1
chr1	70736539	70742527	1
chr1	70736539	70758232	1
chr1	70758071	70759303	1
chr1	70758071	70771973	4
chr1	70758071	70779473	1
chr1	70758071	70781249	10
chr1	70758071	70801782	1
chr1	70761813	70771973	1
chr1	70761813	70779473	1
chr1	70761813	70781249	1
chr1	70877049	70904931	1
chr1	70896000	70904509	1
chr1	76198329	76200556	1
chr1	76211491	76216231	1
chr1	76215104	76216231	2
chr1	76254844	76255041	1
chr1	77620134	77635080	1
chr1	77672325	77676174	1
chr1	78046683	78047576	1
chr1	78097520	78107340	2
chr1	78097535	78099090	1
chr1	78097535	78107340	1
chr1	78098800	78107340	2
chr1	78105134	78107340	1
chr1	78177432	78178966	2
chr1	78183552	78184326	3
chr1	78183552	78191447	2
chr1	78267016	78272786	2
chr1	78268955	78272786	1
chr1	78279419	78280916	1
chr1	78324623	78327007	1
chr1	78324623	78332076	2
chr1	78338689	78340796	1
chr1	78409868	78428615	1
chr1	78412826	78413320	1
chr1	78420940	78422385	1
chr1	78422257	78435699	1
chr1	78432568	78435503	1
chr1	84383287	84403699	1
chr1	84609903	84680000	1
chr1	84644860	84680000	1
chr1	84662299	84663507	1
chr1	84961056	84963206	1
chr1	85121515	85136498	1
chr1	86047262	86047542	1
chr1	86047669	86047967	1
chr1	86048099	86048307	1
chr1	86119647	86167943	1
chr1	86241357	86252144	1
chr1	89206671	89206971	1
chr1	89225905	89237562	1
chr1	89236035	89237562	4
chr1	89236035	89251896	2
chr1	89237104	89251896	1
chr1	89251787	89271354	1
chr1	89401782	89435150	1
chr1	90470692	90473064	1
chr1	90470692	90473309	1
chr1	91382197	91383711	1
chr1	91403042	91447927	1
chr1	92161229	92178099	3
chr1	92161229	92182265	1
chr1	92224170	92263028	1
chr1	92327028	92327201	4
chr1	92729233	92735314	1
chr1	92786156	92789932	1
chr1	92798948	92811471	4
chr1	92798948	92846430	15
chr1	93070864	93073284	6
chr1	93070864	93091491	4
chr1	93070864	93101893	2
chr1	93070864	93104794	1
chr1	93575787	93595005	1
chr1	93580245	93581175	1
chr1	93620213	93625783	2
chr1	93676359	93677818	1
chr1	93676359	93682303	2
chr1	93677658	93682303	1
chr1	93677658	93683426	2
chr1	93683295	93692006	1
chr1	93704867	93705453	1
chr1	93770945	93791452	1
chr1	94012399	94016662	1
chr1	94032836	94033408	5
chr1	94032836	94041686	1
chr1	94037227	94049678	1
chr1	94107860	94140497	2
chr1	94140170	94140497	2
chr1	94339404	94339628	1
chr1	94360170	94363454	3
chr1	94360170	94367225	4
chr1	94360170	94370144	1
chr1	94669486	94671239	1
chr1	94685814	94697199	4
chr1	94921265	94930429	1
chr1	94921289	94924199	1
chr1	94921289	94946162	1
chr1	94924163	94933563	1
chr1	94924163	94946162	3
chr1	94924163	94948795	1
chr1	94946020	94956803	1
chr1	94953098	94972198	2
chr1	94953098	94956803	6
chr1	94964158	94965170	2
chr1	95426873	95428726	1
chr1	97216981	97243502	1
chr1	97216981	97250810	1
chr1	97235259	97243502	1
chr1	97235259	97250810	1
chr1	97243392	97250810	1
chr1	100342014	100343384	1
chr1	100346188	100350007	1
chr1	100459093	100464971	3
chr1	100588766	100591498	1
chr1	100681539	100684303	1
chr1	100684182	100706353	1
chr1	100736135	100740521	1
chr1	100960374	100964818	1
chr1	101362126	101383683	1
chr1	101372408	101383683	1
chr1	101372408	101387397	6
chr1	101376619	101383683	1
chr1	101379219	101387397	1
chr1	101427384	101431474	1
chr1	101479266	101491022	1
chr1	104083457	104095954	1
chr1	104083972	104089657	1
chr1	107600900	107601749	1
chr1	108185241	108247683	1
chr1	108226110	108247683	1
chr1	108678291	108700242	1
chr1	108686165	108703915	1
chr1	108686165	108728576	1
chr1	108690901	108703915	6
chr1	108697605	108724650	1
chr1	108697605	108728576	8
chr1	108724563	108728576	8
chr1	108724563	108738102	3
chr1	108873793	108876446	1
chr1	108873793	108881312	6
chr1	109192833	109200201	1
chr1	109192833	109202584	2
chr1	109197338	109200201	1
chr1	109197338	109202584	1
chr1	109200073	109202584	2
chr1	109238324	109238959	1
chr1	109273296	109276154	2
chr1	109336204	109342927	1
chr1	109525231	109529302	1
chr1	109770974	109772194	1
chr1	109854746	109854997	1
chr1	109884636	109888500	1
chr1	109952550	109957985	2
chr1	109954499	109957985	3
chr1	110459915	110464616	1
chr1	110580513	110582137	1
chr1	111668849	111680208	1
chr1	111998708	112002258	1
chr1	112269989	112270426	1
chr1	112524243	112525420	2
chr1	113093223	113143470	1
chr1	113140593	113143470	2
chr1	113140593	113153625	1
chr1	113140593	113159517	2
chr1	113143416	113153625	1
chr1	113153463	113159517	1
chr1	113196220	113202401	2
chr1	113459800	113460666	1
chr1	113633892	113659058	1
chr1	113633940	113641407	1
chr1	113653107	113666656	1
chr1	114123164	114133280	1
chr1	114123164	114137182	1
chr1	114214356	114216087	1
chr1	114267381	114269196	2
chr1	114269040	114301355	1
chr1	114280732	114281421	4
chr1	114449618	114450813	1
chr1	115005726	115007010	18
chr1	115130008	115130573	1
chr1	115262200	115263338	2
chr1	115275225	115292525	1
chr1	115275354	115292525	1
chr1	115277063	115282511	1
chr1	115279379	115292525	2
chr1	116202262	116206889	2
chr1	116562203	116563506	1
chr1	117078587	117087226	1
chr1	117086933	117087226	1
chr1	117484337	117487714	2
chr1	117484337	117492194	1
chr1	117602965	117633245	1
chr1	117626640	117629144	1
chr1	117944808	117948267	30
chr1	117944808	117957453	47
chr1	117944808	117963271	144
chr1	117944808	117984947	34
chr1	117944808	118009049	5
chr1	117957335	117963271	1
chr1	117957335	118009049	1
chr1	117984853	118009049	1
chr1	118003111	118009049	5
chr1	118003111	118045592	5
chr1	118035769	118045592	4
chr1	118420398	118463047	1
chr1	118449128	118463047	1
chr1	118454616	118461358	3
chr1	119558459	119576836	1
chr1	119582793	119583048	1
chr1	119761042	119761159	1
chr1	120277257	120279889	1
chr1	120464962	120465069	1
chr1	120466260	120466607	1
chr1	120466260	120468433	1
chr1	120572529	120594393	1
chr1	143915700	144014093	1
chr1	144048709	144053668	3
chr1	144904625	144915639	1
chr1	145578637	145584836	1
chr1	145592633	145595220	2
chr1	145594039	145595220	5
chr1	145594039	145598295	1
chr1	145646115	145663367	2
chr1	145663159	145687091	1
chr1	145764736	145771730	1
chr1	145764736	145791170	1
chr1	145769408	145771730	10
chr1	145769408	145791170	2
chr1	145769408	145803388	1
chr1	145787772	145791170	13
chr1	145897085	145919047	2
chr1	145897085	145900490	7
chr1	145916725	145919047	10
chr1	146726525	146731572	1
chr1	146727468	146731572	1
chr1	146747017	146757164	4
chr1	146765313	146766199	1
chr1	147438786	147442191	1
chr1	149239868	149255307	3
chr1	149936147	149937803	1
chr1	150044233	150049857	1
chr1	150064031	150082742	2
chr1	150202906	150204264	5
chr1	150305155	150305670	1
chr1	150318494	150318967	1
chr1	150381382	150390201	3
chr1	150390125	150418877	1
chr1	150413399	150416853	1
chr1	150413399	150418877	2
chr1	150429764	150430046	1
chr1	150464887	150469384	2
chr1	150464887	150470223	1
chr1	150470978	150471769	1
chr1	150547353	150548239	1
chr1	150675786	150676819	1
chr1	150679029	150692014	1
chr1	150679029	150689758	1
chr1	150680732	150692014	1
chr1	150686561	150689758	1
chr1	150689614	150692014	1
chr1	150786553	150786715	1
chr1	150790396	150799093	1
chr1	150799019	150808858	1
chr1	150799019	150825282	1
chr1	150900180	150923957	1
chr1	150902443	150913904	2
chr1	150921598	150922001	1
chr1	150966955	150967033	1
chr1	150997087	150999803	2
chr1	150997087	151001420	3
chr1	150997087	150998149	2
chr1	150999709	151001420	11
chr1	151060666	151079698	2
chr1	151062882	151079698	1
chr1	151070328	151079698	1
chr1	151139410	151139890	7
chr1	151150477	151156969	1
chr1	151196721	151204277	1
chr1	151196721	151205179	1
chr1	151196721	151209239	1
chr1	151196724	151209239	2
chr1	151196724	151205179	1
chr1	151196724	151199876	1
chr1	151196724	151204277	1
chr1	151212431	151212735	1
chr1	151212431	151215043	1
chr1	151214599	151215043	3
chr1	151234637	151239063	1
chr1	151236390	151239815	1
chr1	151276017	151278839	1
chr1	151288049	151288985	1
chr1	151340675	151342245	1
chr1	151395873	151403317	2
chr1	151400299	151403317	1
chr1	151546746	151547481	1
chr1	151611364	151611595	11
chr1	151611364	151666364	1
chr1	151611364	151665959	1
chr1	151611364	151655921	5
chr1	151611364	151641111	9
chr1	151611364	151630903	1
chr1	151630711	151633338	2
chr1	151630711	151641111	2
chr1	151630711	151655921	1
chr1	151655832	151665959	2
chr1	153617908	153618664	1
chr1	153636519	153641033	1
chr1	153637696	153641033	4
chr1	153637696	153641052	1
chr1	153640031	153641033	2
chr1	153654974	153662858	1
chr1	153727118	153730239	1
chr1	153727118	153732089	1
chr1	153732787	153737539	1
chr1	153735204	153737539	1
chr1	153784498	153800824	1
chr1	153788749	153800824	1
chr1	153791267	153792211	4
chr1	154145384	154145677	1
chr1	154184796	154186422	2
chr1	154184796	154187050	1
chr1	154197560	154209612	1
chr1	154197560	154209087	1
chr1	154199758	154214041	1
chr1	154207672	154221913	1
chr1	154213989	154218851	2
chr1	154223517	154224129	3
chr1	154401672	154403082	1
chr1	154401672	154407632	1
chr1	154420601	154427057	2
chr1	154938019	154938993	2
chr1	155034799	155035134	1
chr1	155209407	155209868	4
chr1	155228582	155232053	1
chr1	155235651	155236686	3
chr1	155295358	155298066	1
chr1	155307380	155314064	1
chr1	155307880	155313533	1
chr1	155340295	155340774	1
chr1	155340295	155365344	1
chr1	155408118	155408859	6
chr1	155408118	155429689	38
chr1	155408118	155447749	4
chr1	155490891	155491409	5
chr1	155737216	155747611	1
chr1	155764841	155774932	1
chr1	155764841	155784240	1
chr1	155783425	155784240	1
chr1	155823067	155823597	23
chr1	155870107	155880595	1
chr1	155891166	155891709	5
chr1	155896467	155896947	4
chr1	155896467	155899631	1
chr1	155899087	155899631	2
chr1	155927504	155928187	2
chr1	155984752	155988159	2
chr1	156084524	156084811	1
chr1	156104215	156104319	1
chr1	156181129	156181527	1
chr1	156219360	156220461	1
chr1	156230242	156248825	1
chr1	156246876	156247839	1
chr1	156286957	156287338	4
chr1	156287206	156288808	1
chr1	156288659	156288808	1
chr1	156294763	156303434	1
chr1	156303338	156304709	15
chr1	156303338	156305679	2
chr1	156713578	156713646	1
chr1	158047781	158048297	1
chr1	158066796	158067558	1
