Chr	Start	End	SRR445016_pairs_Chimeric.out.junction
chr1	2501707	2501827	1
chr1	3138505	3138608	1
chr1	3410335	3424487	1
chr1	3414935	3416609	1
chr1	3417530	3422120	1
chr1	3421772	3432091	2
chr1	3422143	3422675	1
chr1	3424359	3432091	1
chr1	3447316	3447426	1
chr1	3697715	3698165	2
chr1	3703703	3712527	1
chr1	3731982	3740126	1
chr1	3733453	3733579	1
chr1	3750426	3751656	1
chr1	3753059	3756340	1
chr1	3753856	3761915	1
chr1	3753856	3754083	1
chr1	3761471	3761915	2
chr1	3761471	3764177	1
chr1	3765172	3768985	1
chr1	3782376	3789136	2
chr1	3784538	3789136	6
chr1	3789036	3800364	1
chr1	4206186	4206383	1
chr1	5923950	5940299	1
chr1	5925162	5926518	1
chr1	5933312	5940299	2
chr1	5964677	5965840	2
chr1	5964677	5969273	1
chr1	5964677	5993389	1
chr1	5964677	6046387	4
chr1	5967175	5969273	1
chr1	5987709	6008311	3
chr1	5987709	6046751	1
chr1	5987709	6046387	6
chr1	5987709	6046292	2
chr1	5987709	6022009	7
chr1	5987709	6012896	6
chr1	5987709	5993389	3
chr1	5993207	6022009	1
chr1	6007164	6046292	2
chr1	6007164	6046387	16
chr1	6007164	6029319	1
chr1	6007164	6022009	30
chr1	6007164	6012896	11
chr1	6012760	6029319	1
chr1	6012760	6038473	1
chr1	6012760	6046292	1
chr1	6012760	6046387	1
chr1	6021854	6029319	23
chr1	6021854	6038473	1
chr1	6021854	6046292	2
chr1	6021854	6046387	55
chr1	6027359	6029319	8
chr1	6027359	6046387	1
chr1	6029147	6038473	1
chr1	6038330	6046387	1
chr1	6046215	6046350	1
chr1	6158311	6158544	1
chr1	6237152	6237349	1
chr1	6252990	6257816	17
chr1	6291962	6292179	15
chr1	6291962	6293703	20
chr1	6291962	6295034	1
chr1	6341162	6355040	1
chr1	6378552	6409926	1
chr1	6387359	6399649	2
chr1	6529102	6529736	1
chr1	6581642	6581748	1
chr1	6589054	6593501	1
chr1	6601890	6605240	1
chr1	6609631	6610675	4
chr1	6655545	6659512	1
chr1	6659107	6659512	14
chr1	6659158	6659324	1
chr1	6676817	6680397	3
chr1	6679863	6680397	6
chr1	6682736	6683121	1
chr1	6688559	6690413	1
chr1	6711589	6714099	1
chr1	6727769	6741097	14
chr1	6738454	6741097	2
chr1	6856875	6885270	1
chr1	6945548	6946406	1
chr1	7288788	7288909	1
chr1	7816167	7816275	2
chr1	7837220	7838229	597
chr1	7854017	7861251	4
chr1	7862182	7863213	1
chr1	7895822	7897209	4
chr1	7993222	7995203	1
chr1	8025384	8031023	3
chr1	8045982	8051507	1
chr1	8073941	8074122	1
chr1	8421818	8426028	1
chr1	8421823	8483307	2
chr1	8425898	8426020	1
chr1	8453258	8456591	1
chr1	8525985	8568734	3
chr1	8555123	8557589	1
chr1	8555123	8568734	14
chr1	8601273	8617582	22
chr1	8601273	8674745	21
chr1	8611267	8617582	2
chr1	8611267	8674745	1
chr1	8616534	8684439	1
chr1	8616534	8674745	5
chr1	8616534	8617582	1
chr1	8674620	8684439	5
chr1	8674620	8716500	7
chr1	8684369	8716500	1
chr1	8852463	8852647	5
chr1	8921214	8921475	1
chr1	8922946	8924151	1
chr1	8923950	8925541	2
chr1	8923988	8925422	1
chr1	8926338	8926560	1
chr1	8926338	8927309	2
chr1	8926338	8928116	2
chr1	8927356	8927471	1
chr1	9415802	9416644	16
chr1	9445085	9445219	1
chr1	9627342	9633470	1
chr1	9701676	9701739	1
chr1	9751525	9751925	2
chr1	9751525	9751948	3
chr1	9770163	9770654	8
chr1	9775907	9776136	1
chr1	9776742	9776864	1
chr1	9780231	9784093	1
chr1	9780301	9780649	1
chr1	9786967	9787830	11
chr1	9800716	9801314	9
chr1	9803942	9804701	3
chr1	9809519	9809971	1
chr1	9809519	9816568	1
chr1	9811531	9815367	1
chr1	9815172	9833452	1
chr1	9815172	9816568	16
chr1	9931245	9938047	31
chr1	9991949	9992956	15
chr1	9991949	9994918	162
chr1	9991949	9995685	7
chr1	9992861	9994918	1
chr1	10032076	10032246	1
chr1	10032076	10035833	1
chr1	10032076	10041228	30
chr1	10035650	10041228	2
chr1	10132086	10132272	1
chr1	10132086	10155654	2
chr1	10132086	10177658	1
chr1	10155519	10165802	12
chr1	10155519	10179671	1
chr1	10177517	10195244	1
chr1	10179571	10182134	2
chr1	10179571	10197263	1
chr1	10182020	10182917	1
chr1	10186852	10197263	1
chr1	10187016	10188012	1
chr1	10189450	10195244	1
chr1	10190558	10190871	3
chr1	10190558	10195244	3
chr1	10192427	10197263	1
chr1	10195046	10195244	1
chr1	10195046	10197263	6
chr1	10211384	10221344	1
chr1	10228194	10231387	1
chr1	10292308	10309023	1
chr1	10316305	10318730	3
chr1	10318551	10328321	3
chr1	10327438	10332364	2
chr1	10327438	10328321	12
chr1	10331560	10336457	3
chr1	10331560	10338186	4
chr1	10331560	10335561	1
chr1	10335486	10342591	2
chr1	10335486	10351219	1
chr1	10335486	10352180	1
chr1	10380101	10384953	1
chr1	10380101	10421883	1
chr1	10383942	10394696	1
chr1	10402108	10406011	2
chr1	10405903	10408791	3
chr1	10407819	10408791	3
chr1	10407819	10412794	1
chr1	10412689	10423402	1
chr1	10412689	10431320	1
chr1	10420987	10425706	3
chr1	10420987	10435431	1
chr1	10423341	10425303	1
chr1	10423341	10435431	1
chr1	10423341	10425706	1
chr1	10425158	10425706	4
chr1	10431199	10435431	2
chr1	10434374	10441699	1
chr1	10463128	10464336	26
chr1	10463128	10473308	1
chr1	10464218	10473308	1
chr1	10468128	10477566	1
chr1	10471475	10473308	3
chr1	10471475	10477566	2
chr1	10477044	10477566	1
chr1	10477175	10477408	3
chr1	10523115	10523677	1
chr1	10527247	10529395	9
chr1	10555331	10659423	1
chr1	10584463	10588416	1
chr1	10608483	10608640	2
chr1	10658960	10659423	2
chr1	10806235	10806386	1
chr1	11073773	11078930	1
chr1	11076901	11077064	2
chr1	11076901	11080656	2
chr1	11078790	11080656	2
chr1	11126586	11126805	4
chr1	11133991	11134383	17
chr1	11133991	11137005	19
chr1	11136899	11137708	1
chr1	11137387	11137708	2
chr1	11137658	11141295	1
chr1	11140821	11141295	4
chr1	11150611	11151654	8
chr1	11169347	11169786	1
chr1	11169648	11169753	1
chr1	11174532	11174869	2
chr1	11181303	11182183	17
chr1	11184555	11193254	3
chr1	11259315	11270963	1
chr1	11272369	11276291	5
chr1	11288725	11292585	4
chr1	11305134	11307790	1
chr1	11307682	11308151	7
chr1	11345701	11355735	1
chr1	11412089	11412183	1
chr1	11718324	11718928	1
chr1	11718422	11718674	1
chr1	11736103	11740670	1
chr1	11856263	11860379	1
chr1	11860269	11861456	1
chr1	11882752	11883908	1
chr1	11883764	11887278	2
chr1	11883764	11894647	1
chr1	11887146	11888276	2
chr1	11888163	11894647	1
chr1	11897056	11897213	1
chr1	12008033	12010577	9
chr1	12008033	12012792	2
chr1	12009830	12010577	5
chr1	12012680	12018704	1
chr1	12023589	12027148	1
chr1	12030727	12033054	3
chr1	12034823	12035047	1
chr1	12049222	12052747	5
chr1	12049222	12057478	2
chr1	12056213	12057478	2
chr1	12058827	12059065	1
chr1	12058827	12059152	4
chr1	12061458	12062160	48
chr1	12061826	12062160	1
chr1	12065768	12067306	2
chr1	12065768	12069783	3
chr1	12081702	12081897	1
chr1	12082500	12082859	3
chr1	12089952	12090060	1
chr1	12234669	12235948	1
chr1	12266797	12267108	1
chr1	12302570	12304674	1
chr1	12313779	12318160	1
chr1	12313779	12327977	1
chr1	12326938	12327977	2
chr1	12328763	12331181	5
chr1	12336726	12336903	1
chr1	12339556	12348370	1
chr1	12348280	12351181	1
chr1	12348280	12353761	1
chr1	12353581	12359441	1
chr1	12359259	12359441	2
chr1	12359259	12364785	8
chr1	12359259	12368661	2
chr1	12359259	12368698	32
chr1	12359259	12371982	1
chr1	12359259	12383837	1
chr1	12368488	12371982	1
chr1	12371511	12371982	1
chr1	12378129	12382021	2
chr1	12378129	12382803	4
chr1	12378524	12378781	1
chr1	12381866	12395884	2
chr1	12382593	12383837	1
chr1	12382593	12389975	10
chr1	12389886	12393423	1
chr1	12398288	12401942	1
chr1	12418515	12418657	1
chr1	12428523	12443214	1
chr1	12460238	12476880	5
chr1	12475140	12476880	5
chr1	12488852	12516186	1
chr1	12516054	12557685	1
chr1	14042036	14068652	9
chr1	14042036	14076981	2
chr1	14057495	14068652	10
chr1	14057495	14075982	5
chr1	14057495	14076981	1
chr1	14068500	14095668	1
chr1	14095613	14099683	9
chr1	14648085	14648220	1
chr1	15287195	15287371	1
chr1	15361245	15370655	1
chr1	15361245	15370676	1
chr1	15361245	15392249	1
chr1	15370485	15370655	3
chr1	15691596	15691740	1
chr1	15820387	15821947	1
chr1	15844605	15844890	6
chr1	15855583	15863309	2
chr1	15860732	15863309	14
chr1	15862904	15863309	1
chr1	15862970	15863309	6
chr1	15870894	15871078	1
chr1	15888637	15890854	1
chr1	15890424	15890854	8
chr1	15945153	15945273	1
chr1	15956820	15970145	5
chr1	15956820	15976318	1
chr1	15956820	15978390	1
chr1	15959934	15960374	1
chr1	15959934	15978390	1
chr1	15964802	15970145	11
chr1	15964802	15976318	3
chr1	15964802	15978390	14
chr1	15970017	15976318	2
chr1	15976215	15978390	13
chr1	16042732	16046415	1
chr1	16043202	16046415	2
chr1	16044388	16047883	95
chr1	16044388	16046415	2
chr1	16046229	16046415	2
chr1	16046229	16047883	28
chr1	16090988	16091728	2
chr1	16090988	16103782	1
chr1	16090991	16091728	1
chr1	16093871	16095125	5
chr1	16093871	16101291	3
chr1	16095023	16097073	1
chr1	16095023	16101291	4
chr1	16096904	16101291	2
chr1	16103465	16103782	1
chr1	16107438	16107578	1
chr1	16199311	16203173	4
chr1	16237596	16242774	2
chr1	16242451	16242774	1
chr1	16260261	16261483	1
chr1	16263658	16264501	8
chr1	16269712	16269893	2
chr1	16270795	16272335	1
chr1	16270795	16272789	1
chr1	16272210	16273618	1
chr1	16385989	16390131	2
chr1	16455929	16464925	1
chr1	16458216	16458934	1
chr1	16459675	16477458	1
chr1	16464348	16464925	41
chr1	16474873	16475542	6
chr1	16474873	16477458	1
chr1	16528277	16529069	75
chr1	16528911	16531414	1
chr1	16621278	16641930	2
chr1	16621278	16632414	1
chr1	16632298	16641930	3
chr1	16774365	16778510	4
chr1	16778333	16782388	9
chr1	16778333	16785768	1
chr1	16804750	16813156	1
chr1	16812921	16813156	6
chr1	16817113	16817421	1
chr1	16952270	16959841	1
chr1	17256341	17266588	4
chr1	17256619	17266588	1
chr1	17263132	17263368	2
chr1	17263132	17266588	1
chr1	17265404	17265637	1
chr1	17331869	17332273	1
chr1	17349103	17350569	23
chr1	17349103	17355231	1
chr1	17728075	17728256	1
chr1	17736470	17738690	2
chr1	17742976	17752180	1
chr1	17747210	17755695	1
chr1	17748699	17752180	5
chr1	17752037	17755695	4
chr1	17907048	17914974	82
chr1	17928622	17934472	6
chr1	17934297	17949670	1
chr1	17934297	17934472	3
chr1	17942589	17961511	1
chr1	17948359	17958961	1
chr1	17952451	17961511	1
chr1	17961330	17961511	1
chr1	17964383	17966797	1
chr1	17975049	17983203	3
chr1	17975049	17991090	1
chr1	17981131	17983203	2
chr1	17981131	17991090	3
chr1	18275114	18275269	1
chr1	19403234	19404560	3
chr1	19439018	19439361	1
chr1	19444317	19447928	1
chr1	19445366	19449554	1
chr1	19448541	19449081	2
chr1	19452940	19454233	1
chr1	19454268	19454704	1
chr1	19467282	19468271	4
chr1	19467841	19488391	2
chr1	19483261	19486775	1
chr1	19499358	19501527	1
chr1	19499358	19511780	2
chr1	19503086	19504237	1
chr1	19503086	19505714	2
chr1	19503955	19504237	1
chr1	19510305	19511780	26
chr1	19510305	19514034	8
chr1	19513034	19514034	7
chr1	19513034	19520051	1
chr1	19518682	19519034	24
chr1	19519927	19523759	33
chr1	19519927	19528309	1
chr1	19570108	19570509	5
chr1	19580446	19581334	1
chr1	19584971	19585207	1
chr1	19610490	19612866	1
chr1	19632512	19635136	1
chr1	19644094	19644335	5
chr1	19670852	19684057	9
chr1	19671681	19684057	2
chr1	19683129	19746244	2
chr1	19683129	19684057	15
chr1	19705034	19712120	1
chr1	19705034	19746244	2
chr1	19738559	19738805	1
chr1	19775328	19775824	1
chr1	20020927	20027378	3
chr1	20020927	20063949	1
chr1	20020927	20067434	2
chr1	20027261	20067434	2
chr1	20027261	20125842	1
chr1	20063865	20073753	6
chr1	20063865	20082259	3
chr1	20063865	20113610	4
chr1	20063865	20120141	1
chr1	20073656	20097975	1
chr1	20082127	20113610	11
chr1	20082127	20097975	1
chr1	20097035	20113610	2
chr1	20097801	20113610	4
chr1	20107073	20113610	5
chr1	20216878	20217026	1
chr1	20216878	20218806	1
chr1	20216878	20220973	4
chr1	20216878	20224155	2
chr1	20216878	20231480	1
chr1	20220861	20224155	2
chr1	20224033	20234200	1
chr1	20230760	20231480	2
chr1	20230760	20234369	1
chr1	20234657	20234888	1
chr1	20737602	20737721	1
chr1	20767608	20767726	1
chr1	20964335	20966485	2
chr1	20979114	20982680	1
chr1	20981933	20982680	2
chr1	20996914	21012619	1
chr1	21009146	21012619	4
chr1	21023290	21023402	1
chr1	21024872	21031392	7
chr1	21030940	21036321	1
chr1	21030940	21042132	1
chr1	21039947	21042132	3
chr1	21049249	21052559	1
chr1	21071237	21076375	1
chr1	21071237	21083749	3
chr1	21072036	21083749	1
chr1	21072036	21100103	1
chr1	21074037	21076468	1
chr1	21074037	21107033	1
chr1	21074037	21076375	15
chr1	21076216	21076375	5
chr1	21076216	21076468	23
chr1	21076216	21100103	18
chr1	21083659	21103243	4
chr1	21083659	21107033	2
chr1	21083659	21106404	1
chr1	21083659	21100103	116
chr1	21083659	21097566	5
chr1	21083659	21094157	1
chr1	21091870	21097585	1
chr1	21091870	21100068	1
chr1	21091870	21100103	27
chr1	21091870	21103243	1
chr1	21091870	21107033	2
chr1	21097423	21100103	131
chr1	21103090	21107033	3
chr1	21137231	21139732	7
chr1	21151593	21167521	1
chr1	21212694	21212864	1
chr1	21219112	21226436	1
chr1	21220010	21221994	19
chr1	21220010	21231464	3
chr1	21226190	21226436	1
chr1	21267984	21268823	2
chr1	21276496	21276655	2
chr1	21276496	21307720	3
chr1	21295967	21299592	2
chr1	21295967	21306941	1
chr1	21295967	21307720	15
chr1	21306827	21307720	9
chr1	21324094	21329301	7
chr1	21327692	21329301	47
chr1	21327692	21329280	1
chr1	21377359	21386287	3
chr1	21415631	21423819	2
chr1	21415631	21460527	3
chr1	21546452	21548335	2
chr1	21546452	21551933	1
chr1	21548240	21554534	17
chr1	21551743	21554534	1
chr1	21551743	21564737	1
chr1	21553652	21554534	12
chr1	21560051	21562420	1
chr1	21562343	21564737	1
chr1	21562343	21585332	1
chr1	21563239	21564737	3
chr1	21571482	21573856	8
chr1	21571482	21585332	1
chr1	21573714	21585332	8
chr1	21573714	21582631	3
chr1	21599192	21599404	34
chr1	21599192	21601688	3
chr1	21599192	21605825	9
chr1	21599192	21616649	218
chr1	21601561	21605825	1
chr1	21605684	21616649	4
chr1	21605754	21605793	1
chr1	21636140	21647453	1
chr1	21643684	21647453	1
chr1	21647210	21647453	2
chr1	21647210	21655916	8
chr1	21651708	21652064	1
chr1	21797125	21800078	1
chr1	21799336	21801444	1
chr1	21799409	21799837	1
chr1	22007301	22021714	3
chr1	22027991	22030111	3
chr1	22032220	22033082	1
chr1	22041882	22047659	1
chr1	22041882	22048257	4
chr1	22047529	22048257	4
chr1	22062939	22073642	1
chr1	22073560	22078108	3
chr1	22074631	22078108	22
chr1	22074631	22079612	10
chr1	22154356	22154919	1
chr1	22154356	22158055	1
chr1	22154946	22155327	1
chr1	22160126	22160308	1
chr1	22161172	22162130	3
chr1	22165318	22165578	1
chr1	22165318	22166510	8
chr1	22165864	22166043	2
chr1	22169263	22169931	1
chr1	22169263	22170792	2
chr1	22170641	22173092	2
chr1	22172601	22173092	3
chr1	22173847	22175524	22
chr1	22173847	22176991	2
chr1	22174022	22174184	1
chr1	22174622	22175138	2
chr1	22178039	22211944	1
chr1	22180686	22181258	1
chr1	22180686	22182405	2
chr1	22186059	22188608	1
chr1	22188250	22188608	13
chr1	22188362	22188482	1
chr1	22190593	22192302	1
chr1	22191778	22192302	1
chr1	22191778	22199917	1
chr1	22199289	22199489	3
chr1	22204679	22205614	1
chr1	22206600	22207995	3
chr1	22213708	22214559	1
chr1	22404922	22413359	7
chr1	22404922	22417994	6
chr1	22405240	22417994	1
chr1	22408215	22417994	1
chr1	22412932	22413359	1
chr1	22418168	22418460	2
chr1	22816373	22818026	39
chr1	23107914	23111569	27
chr1	23644976	23660124	1
chr1	23645036	23648148	1
chr1	23648021	23660124	2
chr1	23648021	23667513	2
chr1	23650049	23664354	1
chr1	23667345	23667513	1
chr1	23743742	23745632	2
chr1	23745196	23745404	1
chr1	23767595	23769105	1
chr1	23842827	23845600	2
chr1	23848329	23850980	1
chr1	23885426	23885983	1
chr1	23885618	23885983	1
chr1	23902604	23902722	2
chr1	24075511	24076438	6
chr1	24086002	24086303	1
chr1	24086002	24086698	1
chr1	24106354	24112269	2
chr1	24112165	24112913	3
chr1	24112165	24114047	1
chr1	24124185	24125926	1
chr1	24125503	24125855	1
chr1	24130890	24147083	4
chr1	24140680	24147083	27
chr1	24143165	24147083	7
chr1	24143165	24144073	4
chr1	24287419	24287624	2
chr1	24298063	24298502	2
chr1	24766662	24771734	15
chr1	24766662	24779994	2
chr1	24771675	24779994	1
chr1	24775971	24779994	1
chr1	24779898	24782763	2
chr1	24782628	24787034	1
chr1	24782628	24790610	1
chr1	24799095	24799289	1
chr1	24840804	24841057	36
chr1	24857708	24857881	1
chr1	24857708	24859744	9
chr1	24987210	24993416	1
chr1	24989151	24989715	2
chr1	24989151	24993416	2
chr1	25119668	25153607	2
chr1	25124233	25140710	6
chr1	25124233	25153607	5
chr1	25549720	25551591	1
chr1	25568865	25570124	6
chr1	25678117	25679465	13
chr1	25678117	25683344	10
chr1	25679373	25683344	1
chr1	25773253	25775425	1
chr1	25773253	25783322	1
chr1	25775299	25780873	1
chr1	25775299	25783322	1
chr1	25775299	25785383	2
chr1	25810607	25818075	2
chr1	25880413	25883758	1
chr1	26127534	26131766	2
chr1	26286822	26287018	1
chr1	26299049	26301141	2
chr1	26299049	26303264	2
chr1	26299049	26316092	2
chr1	26310437	26311019	1
chr1	26314722	26316092	2
chr1	26314722	26317354	2
chr1	26315943	26317354	1
chr1	26482736	26482897	1
chr1	26566253	26570809	7
chr1	26566253	26576057	1
chr1	26566253	26582356	3
chr1	26566253	26586293	2
chr1	26570657	26586293	1
chr1	26581662	26582356	8
chr1	26581662	26584751	1
chr1	26584088	26586293	62
chr1	26594974	26596105	15
chr1	26594974	26598562	1
chr1	26597505	26598562	2
chr1	26606592	26607423	1
chr1	26610633	26612528	1
chr1	26610998	26611954	1
chr1	26611126	26611368	1
chr1	26612314	26624553	1
chr1	26620696	26624553	7
chr1	26623410	26624553	4
chr1	26759382	26774173	1
chr1	26769222	26774151	3
chr1	26772807	26774139	2
chr1	26772807	26774151	248
chr1	26772807	26774173	2
chr1	26784282	26786635	41
chr1	26797937	26798147	1
chr1	26887217	26888154	1
chr1	26947764	26947804	1
chr1	27056142	27059283	33
chr1	27087347	27089776	11
chr1	27100071	27100389	1
chr1	27175099	27180316	5
chr1	27179244	27180316	1
chr1	27210651	27212624	1
chr1	27223792	27224216	4
chr1	27267948	27268309	5
chr1	27269148	27269556	2
chr1	27269151	27269556	44
chr1	27432376	27434356	3
chr1	27432376	27436268	35
chr1	27434139	27436268	1
chr1	27434139	27440777	2
chr1	27440282	27440777	8
chr1	27440282	27447744	1
chr1	27440317	27440777	13
chr1	27453238	27453396	1
chr1	27614165	27618888	1
chr1	27657211	27660772	1
chr1	27657476	27658521	3
chr1	27662432	27662626	1
chr1	27682517	27682991	2
chr1	27741327	27755443	1
chr1	27755271	27774536	1
chr1	27796851	27796967	3
chr1	27879403	27885394	1
chr1	27884816	27885394	1
chr1	27884816	27917170	1
chr1	27994737	27995857	1
chr1	28059114	28060694	2
chr1	28071165	28081841	1
chr1	28075579	28081841	9
chr1	28116073	28120143	47
chr1	28116073	28128326	4
chr1	28116073	28138779	3
chr1	28119821	28120143	1
chr1	28120044	28138779	2
chr1	28120044	28146243	2
chr1	28128189	28138779	2
chr1	28136757	28138779	2
chr1	28136757	28146243	1
chr1	28165210	28169841	3
chr1	28167525	28169841	5
chr1	28223516	28233793	3
chr1	28233439	28233793	3
chr1	28290008	28290204	1
chr1	28323831	28330930	4
chr1	28323831	28343750	2
chr1	28326471	28343750	1
chr1	28330847	28343750	1
chr1	28337458	28343750	8
chr1	28362055	28384605	27
chr1	28362055	28374937	9
chr1	28362055	28369161	4
chr1	28365350	28369161	4
chr1	28365350	28374937	4
chr1	28365350	28384605	1
chr1	28422440	28422819	3
chr1	28503757	28503919	1
chr1	28595694	28600669	3
chr1	28595694	28601526	1
chr1	28598185	28600669	1
chr1	28598795	28599304	2
chr1	28601336	28605752	8
chr1	28784343	28785769	2
chr1	28784343	28792360	1
chr1	28785596	28786803	1
chr1	28785596	28793046	21
chr1	28800066	28807116	5
chr1	28800066	28800663	6
chr1	28800066	28802803	4
chr1	28815682	28819603	1
chr1	28817463	28819603	1
chr1	28817463	28823184	2
chr1	28818162	28819603	7
chr1	28818162	28823184	4
chr1	28861562	28861892	1
chr1	28879900	28879952	1
chr1	28880152	28898412	2
chr1	28887145	28887910	2
chr1	28891215	28898412	1
chr1	28893806	28898412	1
chr1	28897688	28898412	10
chr1	28906195	28906493	1
chr1	28930040	28948677	1
chr1	28931884	28948677	3
chr1	28939759	28948677	2
chr1	28944465	28948677	3
chr1	28948426	28948526	2
chr1	29016586	29023596	1
chr1	29016586	29030841	1
chr1	29016616	29019557	1
chr1	29016616	29030841	2
chr1	29018097	29019557	2
chr1	29019454	29023596	1
chr1	29019454	29030841	1
chr1	29028950	29037154	1
chr1	29030704	29037154	1
chr1	29068915	29070498	1
chr1	29362338	29365938	1
chr1	29362338	29391670	2
chr1	29365766	29365938	2
chr1	29395245	29424447	3
chr1	29422667	29424447	3
chr1	29424319	29435949	2
chr1	29481208	29481422	219
chr1	29481208	29495150	1
chr1	29485886	29495150	1
chr1	29487088	29495150	1
chr1	29491719	29495150	2
chr1	29492402	29495150	5
chr1	29542517	29543197	1
chr1	29542517	29547433	3
chr1	29581787	29587415	1
chr1	29585017	29587415	2
chr1	29601960	29602268	1
chr1	29609188	29611381	8
chr1	31409490	31414119	2
chr1	31409490	31414970	1
chr1	31413998	31414970	9
chr1	31413998	31418330	1
chr1	31437521	31437757	1
chr1	31447498	31454252	3
chr1	31447498	31455487	2
chr1	31447498	31468067	3
chr1	31452909	31454252	5
chr1	31452909	31455487	8
chr1	31452909	31465507	1
chr1	31452909	31468067	4
chr1	31452909	31479946	1
chr1	31452909	31479949	3
chr1	31461156	31461635	1
chr1	31461156	31468067	1
chr1	31465237	31479949	17
chr1	31465237	31468067	186
chr1	31465237	31479946	5
chr1	31478700	31479946	8
chr1	31478700	31479949	41
chr1	31478700	31501711	2
chr1	31528160	31532424	3
chr1	31532051	31532424	11
chr1	31532146	31532424	1
chr1	31740718	31754343	2
chr1	31740718	31764853	10
chr1	31742005	31762266	1
chr1	31742005	31764853	1
chr1	31754221	31764853	2
chr1	31764760	31766195	1
chr1	31836879	31837403	1
chr1	31896540	31899670	7
chr1	31898623	31901915	1
chr1	32126272	32126666	6
chr1	32156023	32156131	2
chr1	32221600	32222416	1
chr1	32257816	32259836	1
chr1	32495899	32510991	4
chr1	32495899	32504220	6
chr1	32495899	32498935	28
chr1	32495899	32497241	3
chr1	32497125	32498935	2
chr1	32497125	32504220	8
chr1	32498789	32502644	1
chr1	32499633	32502644	2
chr1	32502511	32504220	92
chr1	32502511	32505174	27
chr1	32502511	32510991	5
chr1	32503436	32504220	9
chr1	32503436	32505174	3
chr1	32504153	32505174	1
chr1	32542364	32542919	1
chr1	32557276	32566163	8
chr1	32560385	32566163	37
chr1	32604780	32623962	1
chr1	32620170	32622546	1
chr1	32620189	32623962	4
chr1	32620189	32625132	2
chr1	32620191	32625132	1
chr1	32627548	32628914	1
chr1	32627548	32632897	1
chr1	32627648	32627936	2
chr1	32628836	32629039	1
chr1	32628836	32632897	13
chr1	32631706	32632897	1
chr1	32646843	32647277	1
chr1	32650126	32653725	18
chr1	32650126	32653749	1
chr1	32650126	32658031	1
chr1	32653367	32653725	1
chr1	32653555	32653725	6
chr1	32653555	32653749	1
chr1	32653555	32655850	22
chr1	32657912	32658901	9
chr1	32688139	32696620	1
chr1	32689635	32690076	28
chr1	32689635	32692131	8
chr1	32691772	32692131	6
chr1	32694100	32694417	1
chr1	32694100	32694809	7
chr1	32697345	32697785	3
chr1	32790080	32792678	1
chr1	32790080	32793278	2
chr1	32792540	32793278	5
chr1	32834048	32842342	1
chr1	32846815	32852496	1
chr1	33075698	33100393	1
chr1	33085161	33099673	1
chr1	33085161	33100393	4
chr1	33093109	33099711	3
chr1	33093109	33100393	5
chr1	33097428	33099673	3
chr1	33097428	33099711	8
chr1	33097428	33100393	20
chr1	33099246	33100393	5
chr1	33099246	33099711	4
chr1	33099246	33099673	1
chr1	33117515	33117802	1
chr1	33133826	33135164	4
chr1	33133826	33138502	2
chr1	33160466	33161645	4
