Chr	Start	End	pos_pairs_Chimeric.out.junction
chr1	32691772	32692131	2
chr1	32694100	32694809	4
chr1	33093109	33100393	2
chr1	33290914	33318767	5
chr1	33413823	33415375	5
chr1	33741701	33742195	6
chr1	33760538	33760616	4
chr1	33836022	33841194	5
chr1	35469569	35496314	3
chr1	35562918	35570370	5
chr1	35569896	35577513	8
chr1	35846860	35865177	4
chr1	35846860	35873760	7
chr1	35846860	35871069	6
chr1	35846860	35855699	4
chr1	35846860	35854683	4
chr1	35846860	35847359	8
chr1	35851043	35859340	6
chr1	35879573	35881315	5
chr1	35881067	35881315	2
chr1	35940406	35944813	5
chr1	35944567	35944813	6
chr1	36074847	36075009	6
chr1	36096875	36102033	6
chr1	36213508	36214205	7
chr1	36282483	36301594	3
chr1	36291527	36301594	8
chr1	36291527	36307351	6
chr1	36372536	36384024	7
chr1	36432556	36439112	9
chr1	36479516	36520746	5
chr1	36505908	36520746	5
chr1	36636572	36639079	8
chr1	36773371	36773564	3
chr1	36773371	36775191	6
chr1	38047824	38049534	7
chr1	38047824	38053096	6
chr1	38148991	38149109	5
chr1	38151945	38152124	2
chr1	38168924	38171239	3
chr1	38331433	38343995	8
chr1	38445137	38447483	2
chr1	39752958	39753234	9
chr1	39903449	39916883	5
chr1	39916724	39945681	7
chr1	40029286	40029413	1
chr1	40872408	40882768	5
chr1	41461589	41475926	4
chr1	41463066	41466789	2
chr1	41471723	41474386	2
chr1	41474466	41475926	8
chr1	41512079	41541123	8
chr1	41536267	41541123	4
chr1	41578955	41582682	9
chr1	41578955	41608784	7
chr1	42693554	42776781	5
chr1	42730786	42744343	3
chr1	42730786	42776781	2
chr1	42744019	42776781	6
chr1	43161870	43162615	3
chr1	43825161	43825309	5
chr1	43868848	43870221	8
chr1	43888151	43888303	6
chr1	43891709	43892209	7
chr1	43895982	43898861	3
chr1	44035261	44054671	7
chr1	44035261	44035449	8
chr1	44057483	44071114	5
chr1	44085351	44085529	5
chr1	44131367	44149475	5
chr1	44132123	44154766	6
chr1	44257773	44303983	9
chr1	44386076	44386600	6
chr1	44415089	44422373	5
chr1	44425921	44426685	6
chr1	44441762	44443967	8
chr1	44442262	44443967	8
chr1	44442445	44443967	6
chr1	44466439	44468318	8
chr1	44467985	44468657	7
chr1	44773982	44785416	6
chr1	44785300	44785416	2
chr1	44877653	44878394	8
chr1	45088414	45092070	7
chr1	45223228	45223812	6
chr1	45470272	45473993	12
chr1	45504608	45506210	5
chr1	46032241	46032692	5
chr1	46092976	46108171	5
chr1	46095248	46108171	3
chr1	46096154	46099319	4
chr1	46096154	46108171	8
chr1	46108099	46108171	4
chr1	46120862	46126897	5
chr1	46124700	46126897	7
chr1	46290105	46295253	6
chr1	46463396	46468555	8
chr1	46745864	46764042	3
chr1	46774773	46775988	3
chr1	47735307	47737913	6
chr1	47737748	47748131	8
chr1	47737748	47761520	6
chr1	47745913	47748131	7
chr1	48821342	48825442	5
chr1	51049324	51204626	4
chr1	51121114	51210447	6
chr1	51121114	51171563	6
chr1	51253672	51267349	3
chr1	51860053	51875368	2
chr1	51860053	51913807	10
chr1	51906019	51913807	8
chr1	52082546	52117713	5
chr1	52211208	52238395	7
chr1	52231494	52231653	6
chr1	52231494	52238395	4
chr1	52237742	52238395	4
chr1	52238277	52238395	2
chr1	52293468	52299842	7
chr1	52824922	52825206	5
chr1	52825746	52827288	2
chr1	52849092	52851621	8
chr1	52896685	52901137	3
chr1	52954581	52954707	4
chr1	52954581	52961187	5
chr1	52954581	52962855	4
chr1	53326403	53333449	3
chr1	53333211	53333449	6
chr1	53694544	53701307	2
chr1	53720789	53723136	1
chr1	53736700	53737018	2
chr1	54252831	54254869	7
chr1	54252831	54293846	13
chr1	54348786	54348949	5
chr1	54706578	54708972	6
chr1	54717289	54717533	1
chr1	54717289	54723822	3
chr1	55315300	55337286	5
chr1	55319710	55319907	3
chr1	55319710	55340884	5
chr1	55330976	55341720	3
chr1	55340766	55341720	5
chr1	55517951	55518084	4
chr1	55524172	55527229	4
chr1	55537487	55541196	5
chr1	55624551	55625358	4
chr1	59787208	59812070	6
chr1	59787208	59922748	4
chr1	59787208	59844509	7
chr1	59787208	59805741	5
chr1	61743192	61872399	4
chr1	61743192	61892228	9
chr1	61798184	61824946	7
chr1	61869776	61872399	7
chr1	61872234	61892228	6
chr1	62321702	62330305	4
chr1	62365255	62367131	6
chr1	62713144	62734177	6
chr1	62713144	62737261	5
chr1	62728764	62737261	6
chr1	62732404	62737261	8
chr1	62970301	62973729	9
chr1	63042933	63052295	5
chr1	64104356	64104471	2
chr1	64515363	64516388	7
chr1	65268659	65280523	5
chr1	65278421	65280523	5
chr1	65301781	65321381	8
chr1	65305286	65321381	9
chr1	65830318	65831879	9
chr1	65830318	65855310	5
chr1	70694105	70703235	8
chr1	70694105	70715730	6
chr1	70766447	70779473	7
chr1	70790536	70790640	6
chr1	70881639	70900860	5
chr1	70883620	70888955	5
chr1	78183552	78191447	8
chr1	78191307	78205102	7
chr1	78422257	78432785	4
chr1	78432378	78433350	4
chr1	89236035	89237562	6
chr1	89236035	89251896	8
chr1	91967211	91973954	8
chr1	91973411	91973954	3
chr1	92224170	92224307	3
chr1	92224170	92263028	7
chr1	92251743	92263028	4
chr1	92327028	92327201	6
chr1	92728420	92737209	6
chr1	92798948	92811471	4
chr1	92798948	92846430	6
chr1	92846281	92846430	5
chr1	93201955	93202184	4
chr1	93575787	93586229	8
chr1	94037227	94037398	6
chr1	94037227	94054976	7
chr1	94140170	94140497	7
chr1	94360170	94363454	5
chr1	94360170	94367225	3
chr1	94953448	94956803	6
chr1	99150441	99164461	3
chr1	100342014	100343384	5
chr1	101372408	101379362	5
chr1	101372408	101383683	5
chr1	101372408	101387397	4
chr1	101379219	101387397	6
chr1	109270430	109276154	6
chr1	109883346	109890154	6
chr1	109883346	109897153	8
chr1	109883346	109912211	3
chr1	109897989	109910103	4
chr1	109952550	109953735	6
chr1	110586261	110586478	4
chr1	111668849	111680208	6
chr1	111690264	111703918	8
chr1	111731324	111731408	4
chr1	113140593	113159517	4
chr1	113196220	113202401	8
chr1	113196220	113209767	2
chr1	113633940	113653184	7
chr1	113655101	113662145	9
chr1	113661855	113662145	6
chr1	114214356	114216087	9
chr1	114497273	114511270	8
chr1	114499746	114512819	7
chr1	115005726	115006178	2
chr1	115005726	115007010	9
chr1	115277063	115277144	3
chr1	116573987	116609329	8
chr1	117626640	117629144	4
chr1	117944808	117984947	6
chr1	117957335	117963271	5
chr1	117957335	118035884	4
chr1	117963191	117963271	2
chr1	118003111	118035884	6
chr1	120510700	120510855	3
chr1	120539620	120539955	4
chr1	145440632	145441053	5
chr1	145601530	145601852	3
chr1	145601530	145608659	4
chr1	145601530	145601622	1
chr1	145684585	145687091	5
chr1	145769408	145771730	4
chr1	145769408	145791170	5
chr1	145791061	145818826	1
chr1	145916725	145919047	7
chr1	146740441	146758177	6
chr1	146757975	146759412	5
chr1	146757975	146765406	8
chr1	147131075	147131890	5
chr1	147458431	147460753	1
chr1	150044233	150064189	5
chr1	150307406	150318967	7
chr1	150416727	150432793	7
chr1	150464887	150469384	6
chr1	150464887	150470223	3
chr1	150470978	150471769	5
chr1	150900180	150902594	4
chr1	150938952	150940988	3
chr1	150997087	151001420	4
chr1	150997991	151001420	4
chr1	150999709	151001420	4
chr1	151001262	151001420	6
chr1	151062882	151070478	6
chr1	151139410	151139890	2
chr1	151139410	151139694	4
chr1	151148934	151156969	5
chr1	151196721	151205179	2
chr1	151196724	151205179	4
chr1	151204147	151205179	6
chr1	151206673	151212515	6
chr1	151212431	151215043	2
chr1	151234637	151238085	10
chr1	151234637	151238915	6
chr1	151261004	151262016	6
chr1	151288049	151288985	1
chr1	151317204	151317664	5
chr1	151340675	151342245	9
chr1	151395873	151403317	7
chr1	151400299	151400490	5
chr1	151413404	151414681	5
chr1	151611364	151611595	4
chr1	151611364	151634746	6
chr1	151611364	151641111	6
chr1	153635181	153635271	5
chr1	153635181	153640553	5
chr1	153635691	153637812	5
chr1	153635691	153642706	7
chr1	153640929	153642354	4
chr1	153727118	153742320	7
chr1	153727118	153735323	5
chr1	153727118	153730239	8
chr1	153905337	153914589	6
chr1	153905673	153914589	6
chr1	153905959	153914589	3
chr1	153908536	153915606	5
chr1	153909964	153912732	5
chr1	154184934	154186422	4
chr1	154192312	154192413	4
chr1	154209042	154224129	4
chr1	154221715	154224129	5
chr1	154223517	154224129	10
chr1	154228159	154228231	5
chr1	154233368	154239044	3
chr1	154234068	154234173	3
chr1	154420601	154427057	4
chr1	154558657	154560734	4
chr1	154560601	154560734	3
chr1	154573517	154575102	7
chr1	154938638	154940273	3
chr1	154996948	154999191	5
chr1	154998778	154999191	4
chr1	155026626	155032450	6
chr1	155209407	155209868	4
chr1	155220067	155223769	2
chr1	155233741	155239507	6
chr1	155234436	155239507	7
chr1	155235651	155236686	3
chr1	155236520	155239507	7
chr1	155238084	155239507	4
chr1	155240599	155240768	4
chr1	155313105	155313277	8
chr1	155324264	155327540	3
chr1	155385535	155385714	6
chr1	155447677	155452240	10
chr1	155891166	155891709	5
chr1	155891166	155893478	9
chr1	155891166	155895634	4
chr1	155896467	155896947	4
chr1	155920090	155935551	9
chr1	155927504	155928187	5
chr1	156018292	156020344	4
chr1	156127861	156128277	5
chr1	156169626	156170263	3
chr1	156237261	156237974	5
chr1	156246876	156248825	8
chr1	156264156	156264356	4
chr1	156294763	156304709	6
chr1	156303338	156304709	3
chr1	156303338	156305679	5
chr1	156444900	156446994	10
chr1	156520053	156524184	11
chr1	156520053	156539255	2
chr1	156703169	156705701	3
chr1	156913727	156949078	7
chr1	160181333	160183055	11
chr1	160188114	160194339	11
chr1	160261609	160261719	5
chr1	160275223	160282957	10
chr1	160281658	160282957	4
chr1	160293221	160293320	5
chr1	160314512	160324080	5
chr1	160319339	160319460	5
chr1	160321012	160321595	5
chr1	160322677	160324080	8
chr1	161011114	161011636	6
chr1	161088576	161090022	4
chr1	161131828	161132864	7
chr1	161183439	161183522	5
chr1	161192708	161193215	6
chr1	161293404	161298287	2
chr1	161293404	161310445	1
chr1	161748034	161753886	5
chr1	161748034	161830067	2
chr1	161753780	161753886	6
chr1	161761198	161790951	4
chr1	161789423	161833102	7
chr1	162469745	162470894	9
chr1	162557265	162560301	10
chr1	162560113	162560301	6
chr1	165859441	165859600	4
chr1	165859441	165860559	2
chr1	166827356	166833158	9
chr1	166838682	166839091	5
chr1	167343345	167343533	8
chr1	167365523	167382351	6
chr1	167381196	167382351	4
chr1	167734820	167745403	8
chr1	167935867	167944253	2
chr1	167971720	167974031	8
chr1	168007609	168014465	7
chr1	168012263	168014465	5
chr1	168073715	168074132	9
chr1	169199956	169256646	4
chr1	169446393	169446995	3
chr1	169796192	169796340	4
chr1	169847775	169858031	5
chr1	171492360	171494104	5
chr1	171537386	171540560	6
chr1	171537386	171544267	1
chr1	171537386	171546776	5
chr1	171546573	171546776	6
chr1	171548493	171556890	4
chr1	171548967	171558744	6
chr1	171556142	171558744	6
chr1	171556787	171557644	4
chr1	172520652	172539870	8
chr1	173450465	173450621	5
chr1	173735285	173744981	8
chr1	173833395	173834420	2
chr1	173835315	173836181	3
chr1	174606513	174671394	6
chr1	174652660	174671394	7
chr1	175956079	175958615	5
chr1	175996708	176015460	10
chr1	175996708	176085817	9
chr1	176012322	176015460	2
chr1	176050288	176055026	3
chr1	176050288	176105683	7
chr1	176050288	176153828	7
chr1	176118142	176133027	3
chr1	176145046	176153828	7
chr1	176563660	176564731	7
chr1	178359235	178359341	5
chr1	178846633	178852668	4
chr1	178846633	178858831	9
chr1	178848037	178854346	5
chr1	178854211	178854346	6
chr1	179012850	179023773	5
chr1	179012850	179033631	5
chr1	179019414	179023773	8
chr1	179023664	179035994	3
chr1	179086467	179087899	5
chr1	179089325	179091002	5
chr1	179095512	179100616	5
chr1	179100446	179100616	5
chr1	179306972	179310445	8
chr1	179306972	179312078	2
chr1	179306972	179312770	7
chr1	179306972	179319566	5
chr1	179310163	179310445	7
chr1	179310163	179312770	5
chr1	179311249	179312770	1
chr1	179314082	179318077	10
chr1	179316735	179318077	5
chr1	179316735	179319566	7
chr1	179317979	179318077	4
chr1	180756889	180780624	7
chr1	180953813	180962561	7
chr1	182823165	182846038	3
chr1	182825667	182846038	8
chr1	182853748	182853948	4
chr1	183486823	183520325	5
chr1	184671945	184718726	6
chr1	185094076	185106928	5
chr1	185119511	185121067	5
chr1	186344010	186344318	7
chr1	186359843	186360923	5
chr1	192997215	192998787	3
chr1	196645119	196659369	5
chr1	196711005	196715129	2
chr1	197091518	197094085	3
chr1	197091518	197097795	7
chr1	197091518	197098447	8
chr1	197091518	197101482	6
chr1	197552282	197586889	3
chr1	197552282	197614873	8
chr1	197611841	197627499	5
chr1	197621365	197627499	5
chr1	197621365	197643299	6
chr1	197641167	197643299	4
chr1	198247091	198266370	7
chr1	200544719	200587966	4
chr1	200729967	200801973	6
chr1	200729967	200822623	5
chr1	201112948	201115976	3
chr1	201816407	201836087	5
chr1	201821232	201838846	5
chr1	201823723	201828122	1
chr1	201826224	201840455	4
chr1	201827983	201840455	4
chr1	201966447	201969143	2
chr1	202391748	202407152	3
chr1	202698835	202711633	11
chr1	202724399	202733273	5
chr1	202724399	202736188	3
chr1	202724399	202727638	5
chr1	202742246	202746222	6
chr1	203672780	203689868	3
chr1	203676137	203677232	6
chr1	203676137	203696699	5
chr1	203676990	203690538	7
chr1	203689677	203690538	8
chr1	203786054	203787817	2
chr1	204082043	204083733	6
chr1	204082043	204086318	10
chr1	204082043	204086835	9
chr1	204082043	204092932	3
chr1	204085635	204086835	6
chr1	204198065	204214131	2
chr1	204234070	204237440	5
chr1	204410599	204411761	4
chr1	204429452	204433260	6
chr1	204437998	204439014	3
chr1	204494612	204495562	3
chr1	205119808	205138960	2
chr1	205126401	205138960	9
chr1	205128675	205129398	3
chr1	205128675	205156934	8
chr1	205132851	205138960	6
chr1	205156546	205156934	6
chr1	205585606	205585772	10
chr1	206566046	206567030	7
chr1	206619421	206623810	8
chr1	206766968	206769187	3
chr1	207228046	207241654	8
chr1	207500097	207500182	3
chr1	208218412	208218555	3
chr1	211526581	211527809	6
chr1	212151614	212156152	5
chr1	212151614	212194554	4
chr1	212218002	212220759	3
chr1	212515530	212521839	6
chr1	213037067	213062599	7
chr1	213037067	213061936	7
chr1	213037067	213058738	3
chr1	213046020	213061936	4
chr1	213046020	213062599	5
chr1	213061831	213062599	3
chr1	213302870	213349835	4
chr1	213341201	213349835	4
chr1	213349743	213349835	4
chr1	213403840	213405598	2
chr1	215749244	215752480	4
chr1	215768698	215777644	6
chr1	215785167	215792633	4
chr1	217783663	217787544	3
chr1	220193330	220197798	6
chr1	220326527	220327399	5
chr1	220355599	220356273	11
chr1	220752696	220754460	1
chr1	223946972	223959941	6
chr1	225140372	225156576	6
chr1	225140372	225195246	12
chr1	225156461	225332330	12
chr1	225161793	225333081	3
chr1	225211317	225332330	10
chr1	225226396	225239497	3
chr1	225239153	225528403	6
chr1	225332099	225534082	2
chr1	226054812	226067110	5
chr1	226054812	226065294	3
chr1	227071406	227076750	6
chr1	227073239	227075859	4
chr1	227073239	227076750	6
chr1	227075792	227076750	4
chr1	227192695	227204751	6
chr1	229619801	229634053	6
chr1	230313964	230314057	4
chr1	230313964	230339036	2
chr1	230313964	230386306	4
chr1	230372406	230391090	7
chr1	230381809	230391090	11
chr1	230795210	230807386	5
chr1	230841679	230841946	6
chr1	231079552	231097049	6
chr1	231081135	231097049	7
chr1	231090079	231097049	2
chr1	231506308	231509845	6
chr1	233150411	233161145	7
chr1	233190014	233231609	5
chr1	233190014	233314921	1
chr1	233190014	233336010	11
chr1	233225807	233231609	2
chr1	233296029	233344435	4
chr1	233334685	233344435	4
chr1	233334685	233372726	8
chr1	233334685	233386578	7
chr1	233353645	233363117	5
chr1	235634164	235647831	10
chr1	235643370	235652573	7
chr1	235643370	235658138	10
chr1	235647638	235658138	8
chr1	235747040	235758811	3
chr1	236148679	236157172	8
chr1	236187370	236201553	11
chr1	236192850	236201553	8
chr1	236195701	236201553	8
chr1	236734651	236739677	2
chr1	236734651	236744714	5
chr1	236987419	236990196	2
chr1	237023133	237026854	10
chr1	237052481	237054629	5
chr1	237765325	237994865	5
chr1	241767562	241767881	7
chr1	243319523	243319649	2
chr1	244574589	244581054	2
chr1	244681894	244724447	4
chr1	244715624	244724447	4
chr1	246078832	246093239	3
chr1	246490503	246498776	4
chr1	247019032	247028635	5
chr1	247020993	247076714	5
chr1	247039339	247040604	4
chr1	247076534	247079697	5
chr1	247322308	247323115	2
chr10	225934	267296	6
chr10	410314	468973	5
chr10	909683	910210	5
chr10	1118056	1126416	6
chr10	1118056	1142186	8
chr10	1118056	1151207	5
chr10	1123847	1132297	8
chr10	1123847	1142186	12
chr10	1125951	1126416	6
chr10	1125951	1151207	3
chr10	1130343	1142186	5
chr10	1130343	1151207	3
chr10	1130343	1151181	4
chr10	1132226	1139436	2
chr10	1139392	1142186	4
chr10	1142110	1142186	1
chr10	1149542	1151207	5
chr10	1151066	1151207	5
chr10	1170158	1170964	2
chr10	3143557	3151672	5
chr10	3147585	3161061	6
chr10	3160974	3162236	5
chr10	5827105	5842668	5
chr10	5922261	5925130	5
chr10	5944983	5951257	10
chr10	5944983	5969504	7
chr10	5950888	5951257	5
chr10	5998342	6008302	3
chr10	6255586	6258743	6
chr10	6255586	6259154	5
chr10	7213857	7327916	5
chr10	7239510	7327916	6
chr10	7262373	7269899	2
chr10	7269817	7269899	4
chr10	7269817	7327916	5
chr10	7285520	7318951	3
chr10	7285520	7327916	7
chr10	7318854	7327916	4
chr10	7325866	7327916	4
chr10	7327828	7327916	4
chr10	7409611	7412337	8
chr10	7409611	7423911	6
chr10	7750985	7762926	6
chr10	7750985	7785222	3
chr10	7762819	7777054	5
chr10	7762819	7786926	4
chr10	7763612	7777054	10
chr10	7774301	7777054	5
chr10	7838084	7844817	6
chr10	7839010	7844817	8
chr10	7844233	7844817	4
chr10	7844721	7844817	2
chr10	11532831	11567467	9
chr10	11560534	11569566	9
chr10	12021056	12056183	6
chr10	12039671	12056183	9
chr10	12123471	12126750	5
chr10	12123471	12129728	9
chr10	12123471	12136270	1
chr10	12123471	12139995	6
chr10	12123471	12148395	6
chr10	12130985	12136270	4
chr10	12802947	12833232	7
chr10	13214376	13217681	6
chr10	13330360	13337606	10
chr10	13333831	13337606	7
chr10	13375817	13387028	6
chr10	15858834	15889942	4
chr10	15863655	15885271	4
chr10	15863655	15889942	3
chr10	16526336	16528616	5
chr10	16794538	16824083	6
chr10	17746430	17747740	7
chr10	17746969	17750950	6
chr10	20432224	20453496	7
chr10	21959378	22002879	8
chr10	22019829	22024164	4
chr10	27431316	27434519	5
chr10	27453993	27454468	5
chr10	27456031	27470510	8
chr10	27458873	27460012	2
chr10	27458873	27462188	4
chr10	27458873	27470510	9
chr10	29801664	29820217	4
chr10	30611320	30611546	4
chr10	30736711	30747165	6
chr10	30748184	30748430	5
chr10	32101635	32199491	5
chr10	32197100	32199491	6
chr10	32304437	32327146	6
chr10	32304437	32337479	5
chr10	32304437	32324922	3
chr10	32304437	32321702	7
chr10	32304437	32320207	3
chr10	32304437	32311185	8
chr10	32304437	32308887	9
chr10	32304437	32306287	6
chr10	32560482	32562209	5
chr10	35321363	35360267	8
chr10	35790429	35805551	2
chr10	35805451	35814927	3
chr10	35805451	35819171	5
chr10	35814892	35819171	2
chr10	43282616	43292971	3
chr10	43312047	43319232	5
chr10	45484722	45484823	5
chr10	46248036	46248685	3
chr10	46250384	46280349	2
chr10	47911500	47941354	1
chr10	48007124	48011389	5
chr10	49609655	49618211	7
chr10	51579128	51581378	9
chr10	51580556	51590734	9
chr10	51582183	51590734	8
chr10	51749068	51767836	4
chr10	51761756	51767836	3
chr10	51855359	51885209	2
chr10	52349913	52350007	4
chr10	60556100	60558320	8
chr10	62634712	62637816	3
chr10	63699942	63700167	7
chr10	63699942	63760080	6
chr10	63759850	63760080	3
chr10	63810647	63829556	10
chr10	64936057	64937616	5
chr10	69785303	69804320	5
chr10	69902697	69909868	6
chr10	70196768	70204840	8
chr10	70246901	70252955	5
chr10	70252889	70253327	4
chr10	70497602	70502326	3
chr10	70500386	70502326	2
chr10	70508893	70509442	5
chr10	70731647	70733420	5
chr10	70949023	70951522	5
chr10	70958128	70962799	5
chr10	71874676	71880967	6
chr10	73103966	73111545	3
chr10	73579222	73581764	5
chr10	73579471	73581764	4
chr10	73579471	73585650	5
chr10	73579997	73581764	5
chr10	73581633	73585650	2
chr10	73581633	73591677	5
chr10	73585594	73591008	9
chr10	73587771	73591677	7
chr10	73956569	73963282	5
chr10	73956569	73970589	9
chr10	74100547	74100928	2
chr10	74100547	74103269	5
chr10	74474869	74475660	4
chr10	74658422	74660242	5
chr10	75156277	75160615	3
